timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-03,Ｎデンタルクリニック,金沢市直江南１丁目３１番１,石川県金沢市直江南一丁目31-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=506,医療法人,Ｎデンタルクリニック,名倉 功,"[歯科領域の一次診療, 予約診療有：初診・再診]","[埋伏歯抜歯, 顎関節症治療, 予約診療有：初診・再診]",予約診療有：初診・再診,na,"[スロープ, 車椅子利用者用駐車場, ]",na,na,na,1|-|-,na|-|-,na|-|-,1|-|-,na,36.603631,136.632058,1,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,ＰｉＥＡＣＥ ＤＥＮＴＡＬ ＣＬＩＮＩＣ,金沢市大友３丁目２番地,石川県金沢市大友三丁目2,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=559,医療法人,鳳珠会,中山 伊知郎,"[歯科領域の一次診療, 成人の歯科矯正治療, 予約診療有：初診・再診]",予約診療有：初診・再診,予約診療有：初診・再診,na,na,na,na,na,1|-|-,na|-|-,na|-|-,5|-|-,30,36.60429,136.62819,1,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-03,あかつき歯科医院,河北郡津幡町字横浜い43−1,石川県河北郡津幡町字横浜ｲ43-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2230001,個人,岩崎 和洋,岩崎 和洋,"[歯科領域の一次診療, na]",na,na,予約診療有：初診・再診,"[スロープ, 車椅子利用者用駐車場, ]","[麻酔科標榜医による麻酔（麻酔管理）, ]",na,na,1|-|-,2|-|-,na|-|-,4|-|-,32.5,36.666947,136.733984,1,"[歯科一般, 口腔外科, 矯正歯科, ]"
2023-09-03,あべ歯科クリニック,金沢市北安江4-12-16,石川県金沢市北安江四丁目12-16,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130010,個人,阿部 英貴,阿部 英貴,"[歯科領域の一次診療, 無]",na,na,na,na,na,na,na,1|-|-,na|-|-,na|-|-,3|-|-,32,36.5887492,136.6469243,1,"[歯科, 矯正歯科, 口腔外科, 小児歯科, ]"
2023-09-03,あまいわ歯科医院,小松市本折町109,石川県小松市本折町109,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1132001,個人,中谷 武治,中谷 武治,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, ]",na,1|-|-,na|-|-,na|-|-,1|-|-,10,36.396806,136.447822,1,"[歯科, 小児歯科, ]"
2023-09-03,あらき歯科,金沢市泉野町1-17-20,石川県金沢市泉野町一丁目17-20,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130161,個人,荒木 博三,荒木 博三,"[歯科領域の一次診療, na]",無,na,na,"[スロープ, ]",na,na,na,1|-|-,na|-|-,na|-|-,3|-|-,20,36.545066,136.653289,1,"[一般歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-03,あらき歯科医院,金沢市粟崎町3丁目3番地1,石川県金沢市粟崎町三丁目3-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=5130032,個人,荒木 篤志,荒木 篤志,"[歯科領域の一次診療, 無]",na,na,na,"[身体障害者用トイレ, ]",na,na,na,1|-|-,na|-|-,na|-|-,2|-|-,25,36.625857,136.62677,1,"[歯科, 小児歯科, ]"
2023-09-03,あらもと歯科医院,野々市市扇が丘10-29,石川県野々市市扇ｶﾞ丘10-29,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=2130023,個人,新本 俊彰,新本 俊彰,"[歯科領域の一次診療, 予約診療有：初診・再診]",na,na,予約診療有：初診・再診,na,na,na,na,1|-|-,na|-|-,na|-|-,2|-|-,23,36.527969,136.628871,1,"[歯科, 矯正歯科, ]"
2023-09-03,いしがきファミリー歯科,七尾市本府中町ル部9-1,石川県七尾市本府中町ﾙ部9-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=3130002,個人,石垣 五左衛門,石垣 五左衛門,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, 身体障害者用トイレ, 車椅子利用者用駐車場, ]",na,na,"[病院との連携, ]",2|-|-,na|-|-,na|-|-,1|-|-,25,37.033897,136.967009,1,"[歯科, 小児歯科, ]"
2023-09-03,いちだ歯科,加賀市山代温泉19-38-1,石川県加賀市山代温泉19-38-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=1231026,個人,市田 博示,市田 博示,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, 車椅子利用者用駐車場, ]",na,na,na,2|-|-,na|-|-,na|-|-,2|-|-,40,36.293514,136.365239,2,"[歯科, ]"
2023-09-03,いわい歯科クリニック,輪島市町野町広江7-75-1,石川県輪島市町野町広江7-75-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=4130001,個人,岩井 徳,岩井 徳,"[歯科領域の一次診療, 無]",na,na,na,"[スロープ, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[病院との連携, ]",1|-|-,na|-|-,na|-|-,3|-|-,35,37.431685,137.088819,2,"[歯科, ]"
2023-09-03,えいあい歯科クリニック,白山市専福寺町156-1,石川県白山市専福寺町156-1,,na,http://i-search.pref.ishikawa.jp/detail.php?rd_no=478,個人,金  美羽子,金  美羽子,"[歯科領域の一次診療, 成人の歯科矯正治療, 無]",na,na,na,na,na,na,na,1|-|-,0|-|-,na|-|-,2|-|-,10,36.5224707,136.5867065,2,"[歯科, 小児歯科, 矯正歯科, ]"
