timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-18,地方職員共済組合　長野県支部診療所,長野市南長野幅下６９２－２,長野県長野市大字南長野幅下692-2,,2022年10月5日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2633?seldepts=0,共済組合及びその連合会,地方職員共済組合長野県支部,寺澤　武美,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, 施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,na,na,1|0|1,-|-|-,-|-|-,1|1|0,10,na,na,1,"[歯科, ]"
2023-09-18,西長野歯科・こども歯科医院,長野市西長野町２９８－５,長野県長野市大字西長野町298-5,,2022年10月14日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/1797?seldepts=0,個人,小林　博昭,小林　博昭,"[歯科領域の一次診療, , ]",na,na,na,"[院内処方, 施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, , ]","[病院との連携, 診療所との連携, ]",1|1|0,-|-|-,-|-|-,3|2|1,25,na,na,1,"[小児歯科・歯科, 歯科, ]"
2023-09-18,中川歯科医院,長野市旭町１１３３,長野県長野市旭町1133,,2022年10月24日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2636?seldepts=0,個人,中川　大輔,中川　大輔,"[歯科領域の一次診療, , ]",na,na,na,"[院内処方, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応することができないものに限る。）, 歯科訪問診療, 訪問歯科衛生指導, , ]","[病院との連携, 診療所との連携, ]",2|2|0,-|-|-,-|-|-,3|0|3,23,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-18,神津歯科クリニック,長野市県町５９７－３,長野県長野市県町597-3,,2021年10月15日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/1787?seldepts=0,個人,川島　晶子,川島　晶子,"[歯科領域の一次診療, 顎変形症の歯科矯正治療, 成人の歯科矯正治療, 著しく歯科診療が困難な者（障害者等）の歯科治療, 唇顎口蓋裂の歯科矯正治療, 摂食機能障害の治療, ]",na,na,na,"[施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, 歯科疾患在宅療養管理, , ]","[居宅介護支援事業所との連携, , ]",2|1|1,-|-|-,-|-|-,1|1|0,10,na,na,1,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-18,釜田歯科医院,長野市新諏訪１丁目８番５１号,長野県長野市新諏訪一丁目8-51,,2013年11月14日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2721?seldepts=0,個人,釜田　俊明,釜田　俊明,"[歯科領域の一次診療, 著しく歯科診療が困難な者（障害者等）の歯科治療, ]",na,na,na,"[施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, , ]",na,1|1|0,-|-|-,-|-|-,2|2|0,19.8,na,na,1,"[歯科, ]"
2023-09-18,中村歯科医院,長野市西後町６０６,長野県長野市西後町606,,2022年11月14日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2635?seldepts=0,個人,中村　勇一,中村　勇一,"[歯科領域の一次診療, , ]",na,na,na,"[院内処方, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, 歯科疾患在宅療養管理, 在宅患者歯科治療時医療管理, 在宅患者訪問口腔リハビリテーション指導管理, , ]","[病院との連携, 診療所との連携, ]",1|1|0,-|-|-,-|-|-,3|2|1,22,na,na,1,"[歯科, ]"
2023-09-18,堀内歯科医院,長野市新田町１１０６,長野県長野市新田町1106,,2022年11月14日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2654?seldepts=0,個人,堀内　雅彦,堀内　雅彦,"[歯科領域の一次診療, 著しく歯科診療が困難な者（障害者等）の歯科治療, 成人の歯科矯正治療, , ]","[顎関節症治療, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, ]",na,na,"[院内処方, 音声による情報の伝達, 音声による情報の伝達, 施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, 歯科疾患在宅療養管理, 在宅患者歯科治療時医療管理, ]","[病院との連携, 診療所との連携, 居宅介護支援事業所との連携, 薬局との連携, ]",1|1|0,-|-|-,-|-|-,3|2|1,21,na,na,1,"[歯科, 小児歯科, ]"
2023-09-18,小林歯科医院,長野市諏訪町１６４５,長野県長野市諏訪町1645,,2022年10月5日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2659?seldepts=0,厚生労働省,小林　八洲男,小林　八洲男,"[歯科領域の一次診療, , ]",na,na,na,"[施設内における全面禁煙の実施, ]",na,na,na,1|1|0,-|-|-,-|-|-,1|1|0,10.9,na,na,1,"[歯科, ]"
2023-09-18,おぎの歯科医院,長野市新田町１１２１ 荻野ビル ４Ｆ,長野県長野市新田町1121, 荻野ﾋﾞﾙ 4f,2022年10月11日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/1764?seldepts=0,個人,荻野　味加,荻野　味加,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, , ]",na,na,"[院内処方, 施設内の情報の表示, 施設内の情報の表示, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 診療所との連携, 訪問看護ステーションとの連携, 居宅介護支援事業所との連携, 薬局との連携, , ]",3|3|0,-|-|-,-|-|-,2|0|2,18.8,na,na,1,"[歯科, 小児歯科, ]"
2023-09-18,本村歯科医院,長野市岡田町１３０－１０,長野県長野市岡田町130-10,,2022年10月7日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2649?seldepts=0,個人,本村　泰雄,本村　泰雄,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, , ]",na,na,"[院内処方, 施設内の情報の表示, 音声による情報の伝達, 施設内の情報の表示, 音声による情報の伝達, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, , ]",1|1|0,-|-|-,-|-|-,4|3|1,20,na,na,1,"[歯科, ]"
2023-09-18,和田歯科医院,長野市西町１０００,長野県長野市西町1000,,2022年10月19日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2640?seldepts=0,個人,和田　雄一郎,和田　雄一郎,na,na,na,na,"[院内処方, ]",na,na,na,2|2|0,-|-|-,-|-|-,0|0|0,10,na,na,2,"[歯科, ]"
2023-09-18,大門歯科クリニック,長野市大門町５１－１ 柏与ビル３階,長野県長野市大字大町門町51-1, 柏与ﾋﾞﾙ3階,2022年4月20日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2753?seldepts=0,個人,清水　武,清水　武,"[歯科領域の一次診療, , ]","[顎関節症治療, , ]",na,na,"[施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, , ]","[病院との連携, , ]",2|2|0,-|-|-,-|-|-,2|2|0,20,na,na,2,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-18,クサブカ歯科医院,長野市北石堂町１４５３,長野県長野市北石堂町1453,,2020年10月9日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2689?seldepts=0,個人,草深　英二,草深　英二,"[歯科領域の一次診療, , ]",na,na,na,"[施設内における全面禁煙の実施, ]",na,na,na,1|1|0,-|-|-,-|-|-,1|0|1,8,na,na,2,"[歯科, ]"
2023-09-18,わかおみ歯科医院,長野市横沢町７４８－８ わかおみ歯科医院,長野県長野市横沢町748-8, ﾜｶｵﾐ歯科医院,2022年10月8日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2696?seldepts=0,個人,若麻績　泰子,若麻績　泰子,"[歯科領域の一次診療, , ]",na,na,na,"[院内処方, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, , ]","[病院との連携, 診療所との連携, 薬局との連携, , ]",1|1|0,-|-|-,-|-|-,1|1|0,13.5,na,na,2,"[歯科, ]"
2023-09-18,斎藤歯科小児歯科医院,長野市上千歳町１３５３,長野県長野市上千歳町1353,,2022年11月29日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2739?seldepts=0,個人,斎藤　静,斎藤　静,"[歯科領域の一次診療, 摂食機能障害の治療, 著しく歯科診療が困難な者（障害者等）の歯科治療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, , ]",na,na,"[院内処方, 施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応することができるものに限る。）, 歯科訪問診療, ]","[病院との連携, 診療所との連携, 薬局との連携, , ]",3|3|0,-|-|-,-|-|-,4|3|1,40,na,na,2,"[歯科, 小児歯科, ]"
2023-09-18,山田歯科医院,長野市横沢町１３２８－１,長野県長野市横沢町1328-1,,2022年11月16日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2725?seldepts=0,個人,山田　基史,山田　基史,na,na,na,na,"[院内処方, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 診療所との連携, 薬局との連携, , ]",1|1|0,-|-|-,-|-|-,1|1|0,20,na,na,2,"[歯科, ]"
2023-09-18,奥井歯科医院,長野市南石堂町１２９８－１８,長野県長野市南石堂町1298-18,,2021年10月8日,http://www.qq.pref.nagano.lg.jp/pb_dt_index/pb_dt_list/pb_dt_info/2719?seldepts=0,個人,奥井　隆文,奥井　隆文,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, 歯科疾患在宅療養管理, 在宅患者歯科治療時医療管理, ]",na,3|2|1,-|-|-,-|-|-,2|1|1,18.4,na,na,2,"[歯科, 小児歯科, ]"
