timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-19,みはらしの丘デンタルクリニック,山形市みはらしの丘4ー2ー15,山形県山形市ﾐﾊﾗｼﾉ丘四丁目2-15,,2022年11月01日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,土谷 理恵子,土谷　理恵子,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[施設内の情報の表示（掲示板等による案内）, 音声による情報の伝達, 施設のバリアフリー化の実施, 車椅子対応トイレの設置, 施設内における全面禁煙の実施, ]",na,[],[],1.0|-|-,na,na,2.0|-|-,-,38.184894,140.286303,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-19,鈴川リアデンタルクリニック,山形市五十鈴2ー2ー55ー1,山形県山形市五十鈴二丁目2-55-1,,2022年11月01日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,半田 拓人,半田　拓人,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応でないもの）, 歯科訪問診療, ]",[],na,na,na,3.8|-|-,-,38.273973,140.353082,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-19,さとうデンタルクリニック,山形市桜田東4ー8ー24,山形県山形市桜田東四丁目8-24,,2022年11月01日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,医療法人,さとう医院,佐藤　雄亮,"[歯科領域の一次診療, ]","[埋伏歯抜歯, ]",na,na,"[施設内における全面禁煙の実施, ]",na,"[往診（終日対応することができるもの）, 在宅患者訪問診療, ]","[病院との連携, ]",1.0|-|-,na,na,11.0|-|-,35,38.218455,140.324816,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-19,早坂歯科クリニック,山形市南原町一丁目3番15号,山形県山形市南原町一丁目3-15,,2022年11月06日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,早坂 暢洋,早坂　暢洋,"[歯科領域の一次診療, ]",[],na,na,"[音声による情報の伝達, 施設内における全面禁煙の実施, ]",na,[],[],2.0|-|-,na,na,na,19.7, 38.240102,140.344366,1,"[歯科, ]"
2023-09-19,かつき歯科クリニック,山形市馬見ヶ崎二丁目10番14号,山形県山形市馬見ｹ崎二丁目10-14,,2023年08月29日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,勝木 雄大,勝木　雄大,"[歯科領域の一次診療, 成人の歯科矯正治療, 顎変形症の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌・口腔粘膜の炎症又は外傷の治療, ]",na,na,"[施設内の情報の表示（掲示板等による案内）, 音声による情報の伝達, 施設のバリアフリー化の実施, 車椅子対応トイレの設置, 施設内における全面禁煙の実施, ]",na,[],[],2.0|-|-,na,na,3.0|-|-,25,38.28,140.33,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-19,YGT矯正歯科クリニック,山形市錦町12ー24,山形県山形市錦町12-24,,2022年11月04日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,笹原 久司,笹原　久司,"[成人の歯科矯正治療, ]",[],na,na,"[施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,[],[],1.0|-|-,na,na,2.0|-|-,10,38.26007,140.33543,1,"[矯正歯科, ]"
2023-09-19,まほろば歯科大野目診療所,山形市浜崎９７ー２,山形県山形市浜崎97-2,,2022年11月15日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,冨塚 謙一,冨塚　謙一,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌・口腔粘膜の炎症又は外傷の治療, ]",na,na,"[施設内の情報の表示（掲示板等による案内）, 施設のバリアフリー化の実施, ]",na,"[往診（終日対応でないもの）, ]",[],1.0|-|-,na,na,2.0|-|-,10,38.28364,140.35604,1,"[歯科, 歯科口腔外科, ]"
2023-09-19,まむろ歯科,山形市桧町３丁目８番１０号,山形県山形市桧町三丁目8-10,,2022年11月15日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,眞室 光,眞室　光,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌・口腔粘膜の炎症又は外傷の治療, ]",na,na,"[施設のバリアフリー化の実施, 車椅子対応トイレの設置, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, 歯科疾患在宅療養管理, ]","[病院との連携, 診療所との連携, 居宅介護支援事業所との連携, 薬局との連携, ]",3.0|-|-,na,na,2.0|-|-,-,38.16,140.19,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-19,医療法人社団青嵐会ごとう歯科・矯正歯科クリニック,山形市旅篭町３－３－４５,山形県山形市旅篭町三丁目3-45,,2022年11月11日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,医療法人,社団青嵐会,後藤　安史,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, 口唇・舌・口腔粘膜の炎症又は外傷の治療, ]",na,na,"[施設内における全面禁煙の実施, ]",na,[],[],2.0|-|-,1.0|-|-,2.0|-|-,5.0|-|-,45,38.25753,140.34138,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-19,ファミリー歯科原医院,山形市十日町２－１－２０,山形県山形市十日町二丁目1-20,,2022年11月11日,https://www.pref.yamagata.jp/medical-net/score/med/med.php,個人,原 健一,原　健一,"[歯科領域の一次診療, ]",[],na,na,"[施設のバリアフリー化の実施, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応でないもの）, 歯科訪問診療, 訪問歯科衛生指導, ]",[],2.0|-|-,na,na,2.0|-|-,-,38.246674,140.336480,1,"[歯科, ]"
