timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-21,アイ歯科医院,豊中市東豊中町６丁目１７−１　ユーロハイツ１０１,大阪府豊中市東豊中町六丁目17-1, ﾕｰﾛﾊｲﾂ101,2023年2月21日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270021980,個人,西本 周平,西本　周平,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, ]",na,na,"[院外処方, , 施設内における全面禁煙の実施, , ]",na,na,na,1|1|−,na,na,1.8|1|0.8,na,na,na,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,あおやぎ歯科医院,豊中市東豊中町４丁目６番２２号　ＥＨＢビル２階,大阪府豊中市東豊中町四丁目6-22, ehbﾋﾞﾙ2階,2023年2月25日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270068430,個人,青柳 信好,青柳　信好,"[歯科領域の一次診療, ]","[埋伏歯抜歯, ]",na,na,"[院内処方, , 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, ]",na,na,na,1|1|−,na,na,1|−|1,na,na,na,1,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-21,赤尾歯科医院,豊中市東豊中町6丁目1-22-2,大阪府豊中市東豊中町六丁目1-22-2,,2023年2月3日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270085340,個人,赤尾 剛,赤尾　剛,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, , 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子等利用者用駐車施設の有無, 多機能トイレの設置, 施設内における全面禁煙の実施, , ]",na,na,"[病院との連携, 診療所との連携, ]",1|1|−,na,na,1|1|−,na,na,na,1,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-21,そねひがし予防歯科クリニック,豊中市曽根東町１−１０−２４　曽根東パークハイム１０３号,大阪府豊中市曽根東町一丁目10-24, 曽根東ﾊﾟ-ｸﾊｲﾑ103-,2021年3月9日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270023130,個人,浅井 賢,浅井　賢,na,na,na,na,[],na,na,na,1|1|−,na,na,na,na,na,na,1,"[矯正歯科, 歯科, 小児歯科, ]"
2023-09-21,浅野歯科医院,豊中市寺内２丁目８番７号　ハイツトレヴィー１０３号室,大阪府豊中市寺内二丁目8-7, ﾊｲﾂﾄﾚｳﾞｨ-103-,2023年3月7日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270069800,個人,浅野 雅司,浅野　雅司,"[歯科領域の一次診療, 成人の歯科矯正治療, 著しく歯科診療が困難な者の歯科治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, , 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, , ]",na,na,na,1.2|1|0.2,na,na,2.5|2|0.5,na,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, 矯正歯科, ]"
2023-09-21,麻生歯科クリニック,豊中市西泉丘３丁目７番１４号　カーサ西泉丘Ａ棟,大阪府豊中市西泉丘三丁目7-14, ｶｰｻ西泉丘a棟,2023年2月9日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270061730,個人,麻生 直,麻生　直,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, ]",na,na,"[院内処方, 院外処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, , ]",na,"[往診（終日対応することができるものに限る）, 往診（終日往診可能以外）, 歯科訪問診療の実施, ]","[病院との連携, 居宅介護支援事業所との連携, ]",1|1|−,na,na,2|1|1,na,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,新井歯科医院,豊中市上新田２丁目６番３号　ＴＡビル１階,大阪府豊中市上新田二丁目6-3, taﾋﾞﾙ1階,2023年2月20日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270076390,個人,新井 龍太郎,新井　龍太郎,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, , 施設内における全面禁煙の実施, , ]",na,na,na,1|1|−,na,na,2|2|−,na,na,na,1,"[歯科, 歯科口腔外科, 小児歯科, ]"
2023-09-21,有泉歯科,豊中市北桜塚３−３−１１,大阪府豊中市北桜塚三丁目3-11,,2023年1月29日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270022310,個人,有泉 純子,有泉　純子,"[歯科領域の一次診療, ]",na,na,na,"[院内処方, 院外処方, 施設内における全面禁煙の実施, , ]",na,na,na,1.3|1|0.3,na,na,−|−|−,na,na,na,1,"[歯科, ]"
2023-09-21,ありす歯科クリニック,豊中市岡町北1丁目2番10号,大阪府豊中市岡町北一丁目2-10,,2023年3月7日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270077390,個人,杉本 和代,杉本　和代,"[歯科領域の一次診療, 成人の歯科矯正治療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, 院外処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, , ]",na,"[往診（終日対応することができるものに限る）, 歯科訪問診療の実施, ]","[病院との連携, 居宅介護支援事業所との連携, 診療所との連携, ]",3|1|2,na,na,1|−|1,na,na,na,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,ありま歯科クリニック,豊中市服部元町２丁目４番２６号　メゾンドプルミエール１階,大阪府豊中市服部元町二丁目4-26, ﾒｿﾞﾝﾄﾞﾌﾟﾙﾐｴｰﾙ1階,2023年2月14日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270069820,個人,有馬 敬介,有馬　敬介,"[歯科領域の一次診療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, 院外処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, , ]",na,"[往診（終日往診可能以外）, ]","[病院との連携, 診療所との連携, ]",1|1|−,na,na,3|2|1,na,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,アンズデンタルクリニック,豊中市少路１−１０−５　アプリーレ少路１０３,大阪府豊中市少路一丁目10-5, ｱﾌﾟﾘｰﾚ少路103,2023年1月26日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270022020,個人,安藤 治彦,安藤　治彦,"[歯科領域の一次診療, 成人の歯科矯正治療, ]",na,na,na,"[院内処方, 院外処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, , ]",na,na,na,2|1|1,na,na,3|−|3,na,na,na,1,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-21,安藤歯科クリニック,豊中市緑丘１−５−５,大阪府豊中市緑丘一丁目5-5,,2023年1月30日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270021850,個人,安藤将録,安藤将録,"[歯科領域の一次診療, 成人の歯科矯正治療, 著しく歯科診療が困難な者の歯科治療, ]","[埋伏歯抜歯, ]",na,na,"[院内処方, 院外処方, 視覚障がい者への配慮（音声による情報の伝達）, 施設内における全面禁煙の実施, , ]",na,"[往診（終日往診可能以外）, 歯科訪問診療の実施, ]","[病院との連携, 居宅介護支援事業所との連携, 診療所との連携, 薬局との連携, 訪問看護ステーションとの連携, ]",1|1|−,na,na,1|1|−,na,na,na,1,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-21,医療法人　五條歯科医院,豊中市豊南町東１−１−３　高川サンプラザ,大阪府豊中市豊南町東一丁目1-3, 高川ｻﾝﾌﾟﾗｻﾞ,2023年2月9日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270023230,医療法人,五條歯科医院,五條　房己,"[歯科領域の一次診療, 顎変形症の歯科矯正治療, 成人の歯科矯正治療, 著しく歯科診療が困難な者の歯科治療, 唇顎口蓋裂の歯科矯正治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, ]",na,na,"[院内処方, 院外処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, , ]",na,"[往診（終日対応することができるものに限る）, 歯科訪問診療の実施, ]","[病院との連携, 居宅介護支援事業所との連携, 診療所との連携, 薬局との連携, ]",3.5|3|0.5,na,na,4.5|4|0.5,na,na,na,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,医療法人正愛会　鈴江歯科医院,豊中市東豊中町４−９−１,大阪府豊中市東豊中町四丁目9-1,,2023年2月20日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270021880,医療法人,正愛会,鈴江　義彦,"[歯科領域の一次診療, 顎変形症の歯科矯正治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, 顎変形症治療, ]",na,na,"[院内処方, , 聴覚障がい者への配慮（施設内の情報の表示）, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, , ]",na,"[往診（終日往診可能以外）, ]","[病院との連携, 診療所との連携, ]",2|2|−,1|−|1,na,2|−|2,na,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,医療法人　津金歯科医院,豊中市宮山町１丁目１番４５号　メゾン宮山１Ｆ,大阪府豊中市宮山町一丁目1-45, ﾒｿﾞﾝ宮山1f,2023年1月25日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270022680,医療法人,津金歯科医院,津金　新,"[歯科領域の一次診療, 成人の歯科矯正治療, 著しく歯科診療が困難な者の歯科治療, ]","[顎関節症治療, ]",na,na,"[院内処方, , 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, , ]",na,"[往診（終日対応することができるものに限る）, 歯科訪問診療の実施, ]","[病院との連携, 診療所との連携, 薬局との連携, 訪問看護ステーションとの連携, ]",1|1|−,na,na,1|1|−,na,na,na,1,"[歯科, 矯正歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-21,医療法人篤豊会　近藤歯科医院,豊中市庄内東町１−４−１５,大阪府豊中市庄内東町一丁目4-15,,2023年1月26日,https://www.mfis.pref.osaka.jp/ap/qq/dtl/pwdetaillt01_002.aspx?chosanendo=2022&chosano=1&kikancd=3270023360,医療法人,篤豊会,近藤　　篤,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 摂食機能障害の治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[院内処方, 院外処方, 視覚障がい者への配慮（音声による情報の伝達）, 施設内における全面禁煙の実施, , ]",na,"[往診（終日往診可能以外）, 歯科訪問診療の実施, 訪問歯科衛生指導, 歯科疾患在宅療養管理, 在宅患者歯科治療時医療管理, 在宅患者訪問口腔リハビリテーション指導管理, ]","[病院との連携, 居宅介護支援事業所との連携, 診療所との連携, 薬局との連携, 訪問看護ステーションとの連携, ]",2|2|−,na,na,3|−|3,na,na,na,1,"[歯科, ]"
