timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-21,下山口デンタルクリニック,所沢市山口１１２９－１ テルミハイム１０１,埼玉県所沢市大字山口1129-1, ﾃﾙﾐﾊｲﾑ101,2023年09月18日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11262320&ir=03,na,伏見 一章,伏見一章,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導","病院との連携,薬局との連携",1|-|-,na,na,1|-|-,0,na,na,1,"歯科, 歯科口腔外科"
2023-09-21,埼玉西協同病院,所沢市中富１８６５－１,埼玉県所沢市大字中富1865-1,,2023年09月12日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11011394&ir=01,na,医療生協さいたま生活協同組合 (理事長 雪田 慎二),関口 由希公,"歯科領域の一次診療,摂食機能障害の治療",na,na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内の情報の表示)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している,車椅子等利用者用駐車施設の有無,多機能トイレの設置)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間往診可能）,退院時共同指導,在宅患者訪問診療,施設入居時等医学総合管理,在宅がん医療総合診療,在宅患者訪問看護・指導,在宅患者訪問点滴注射管理指導,在宅患者訪問リハビリテーション指導管理,訪問看護指示,介護職員等喀痰吸引等指示,在宅患者訪問薬剤管理指導,在宅患者訪問栄養食事指導,在宅患者連携指導,歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理,在宅患者歯科治療時医療管理","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",2.0|-|-,na,na,3.4|-|-,144.8,na,na,1,"内科, 眼科, 整形外科, 皮膚科, 外科, 歯科"
2023-09-21,医療法人久晃会　渡辺歯科・矯正歯科,川口市青木２－１０－４６ １階,埼玉県川口市青木二丁目10-46, 1階,2023年09月08日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11004720&ir=03,na,医療法人久晃会 (理事長 渡辺隆志),石塚 晃一,"歯科領域の一次診療,成人の歯科矯正治療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内の情報の表示)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,歯科疾患在宅療養管理","病院との連携,診療所との連携,居宅介護支援事業所との連携,薬局との連携",2|-|-,na,na,2|-|-,30,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,独立行政法人国立病院機構　埼玉病院,和光市諏訪２－１,埼玉県和光市諏訪2-1,,2023年09月07日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11007281&ir=01,na,独立行政法人国立病院機構 (楠岡 英雄),細田 泰雄,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療","埋伏歯抜歯,顎関節症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内の情報の表示,施設内点字ブロックの設置)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"退院時共同指導,訪問看護指示","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",2|-|-,na,na,2|-|-,1193.9,na,na,1,"内科, 精神科, 脳神経内科, 呼吸器内科, 消化器内科, 循環器内科, 小児科, 外科, 乳腺外科, 整形外科, 形成外科, 脳神経外科, 心臓血管外科, 小児外科, 皮膚科, 泌尿器科, 産婦人科, 眼科, 耳鼻いんこう科, リハビリテーション科, 放射線科, 麻酔科, 呼吸器外科, 総合診療科, 腫瘍内科, 歯科口腔外科, 内視鏡内科, 消化器外科, 内視鏡外科, 緩和ケア内科, 病理診断科, 救急科, 血液・膠原病内科, 腎臓内科"
2023-09-21,埼玉医科大学国際医療センター,日高市大字山根１３９７－１,埼玉県日高市大字山根1397-1,,2023年09月06日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11035587&ir=01,na,学校法人 埼玉医科大学 (丸木 清之),佐伯 俊昭,"歯科領域の一次診療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,口腔領域の腫瘍の治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内の情報の表示,施設内点字ブロックの設置,点字による表示)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している,車椅子等利用者用駐車施設の有無,多機能トイレの設置)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間往診以外）,退院時共同指導,訪問看護指示,介護職員等喀痰吸引等指示","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携",8.8|-|-,na,na,4|-|-,768.6,na,na,1,"内科, 外科, 小児科, 脳神経外科, 整形外科, 皮膚科, 麻酔科, 泌尿器科, 耳鼻咽喉科, 呼吸器外科, 心臓血管外科, リハビリテーション科, 精神科, 形成外科, 心臓内科, 呼吸器内科, 消化器内科, 消化器外科, 脳神経内科, 小児外科, 眼科, 産婦人科, 放射線科, 歯科口腔外科"
2023-09-21,松原歯科医院,久喜市桜田 ４－５－４,埼玉県久喜市桜田四丁目5-4,,2023年09月03日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11100109&ir=03,na,松原 隆,松原 隆,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",1|-|-,na,na,2|-|-,20,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,医療法人社団晃央会　入間うさぎ歯科,入間市春日町２－２－４,埼玉県入間市春日町二丁目2-4,,2023年08月31日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11017120&ir=03,na,医療法人社団晃央会 (理事長 関根真一),関根真一,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,歯科訪問診療,na,1.1|-|-,na,na,0|-|-,24.5,na,na,1,"歯科, 小児歯科"
2023-09-21,原田歯科医院,さいたま市西区宝来１５９６－２ 釼持ビル２Ｆ,埼玉県ｻｲﾀﾏ市西区大字宝来1596-2, 釼持ﾋﾞﾙ2f,2023年08月18日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11047461&ir=03,na,原田 淳一,原田 淳一,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方あり)', '障害者に対するサービス内容(施設内の情報の表示,音声による情報の伝達)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",1.5|-|-,na,na,0|-|-,18,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-21,たかなし歯科クリニック,春日部市中央８－４－１４ 伊藤店舗Ｃ・Ｄ,埼玉県春日部市中央八丁目4-14, 伊藤店舗c･d,2023年08月07日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11222085&ir=03,na,高梨 公作,高梨 公作,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療",na,na,"['院内処方の有無(院内処方あり)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,na,1|-|-,na,na,2|-|-,23,na,na,1,"歯科, 小児歯科, 歯科口腔外科"
2023-09-21,春日部市立医療センター,春日部市中央６－７－１,埼玉県春日部市中央六丁目7-1,,2023年08月03日,http://www.iryo-kensaku.jp/saitama/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=11235934&ir=01,na,春日部市長 岩谷 一弘 (病院事業管理者 三宅 洋),山本 樹生,"顎変形症の歯科矯正治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,顎変形症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['院内処方の有無(院内処方なし)', '障害者に対するサービス内容(手話による対応)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している,車椅子等利用者用駐車施設の有無,多機能トイレの設置)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"退院時共同指導,在宅患者訪問看護・指導,在宅患者訪問点滴注射管理指導,訪問看護指示,介護職員等喀痰吸引等指示","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",3.2|-|-,na,na,3|-|-,732.5,na,na,1,"内科, 循環器科, 呼吸器科, 神経内科, 消化器科, 小児科, 外科, 整形外科, 脳神経外科, 呼吸器外科, 形成外科, 皮膚科, 泌尿器科, 産婦人科, 眼科, 耳鼻いんこう科, 放射線科, 歯科口腔外科"
