timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-22,高津歯科医院,横浜市港北区綱島西１－６－１９綱島コア１５ ３０３,神奈川県横浜市港北区綱島西一丁目6-19,綱島ｺｱ15 303,2023年09月18日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14287641&ir=03,na,高津 茂樹,高津茂樹,歯科領域の一次診療,na,na,na,"['車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理,在宅患者歯科治療時医療管理","病院との連携,診療所との連携",1|-|-,na,na,na,12,na,na,1,歯科
2023-09-22,すこやか歯科,大和市福田５５２１－７ １Ｆ,神奈川県大和市福田5521-7, 1f,2023年09月15日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14290189&ir=03,na,秋元 潤哉,秋元 潤哉,na,na,na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,"歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理",病院との連携,5|-|-,na,na,5|-|-,0,na,na,1,歯科
2023-09-22,あつぎ駅前たんぽぽ歯科・矯正歯科,海老名市河原口１丁目２６番１号,神奈川県海老名市河原口一丁目26-1,,2023年09月15日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14290219&ir=03,na,医療法人至誠会 (柳田 充康),志賀 英俊,"歯科領域の一次診療,成人の歯科矯正治療",埋伏歯抜歯,na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,na,病院との連携,2|-|-,na,na,5|-|-,na,na,na,1,歯科
2023-09-22,医療法人松が枝町歯科クリニック,相模原市南区松が枝町１５－８,神奈川県相模原市南区松ｶﾞ枝町15-8,,2023年09月14日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14289717&ir=03,na,医療法人松が枝町歯科クリニック (河村哲也),河村哲也,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療",na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,na,"病院との連携,診療所との連携",6|-|-,na,na,4|-|-,na,na,na,1,歯科
2023-09-22,新川橋クリニック,川崎市川崎区新川通２－１,神奈川県川崎市川崎区新川通2-1,,2023年09月12日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14078660&ir=02,na,医療法人明徳会 (内海 通),雁金 理華子,"歯科領域の一次診療,成人の歯科矯正治療",na,na,na,na,na,na,"病院との連携,診療所との連携",1.1|-|-,na,na,3|-|-,41.4,na,na,1,"耳鼻いんこう科, 歯科, 歯科口腔外科"
2023-09-22,上田歯科医院,藤沢市鵠沼石上２丁目４番６号,神奈川県藤沢市鵠沼石上二丁目4-6,,2023年09月07日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14288800&ir=03,na,上田 千秋,上田千秋,歯科領域の一次診療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,na,病院との連携,1|-|-,na,na,1|-|-,15,na,na,1,歯科
2023-09-22,津久井やまゆり園診療所,相模原市緑区千木良４７６,神奈川県相模原市緑区千木良476,,2023年09月06日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14274400&ir=02,na,神奈川県知事 (黒岩 祐治),島崎 栄二,na,na,na,na,na,na,na,na,na,na,na,0.5|-|-,17.4,na,na,1,"内科, 精神科, 歯科, 皮膚科"
2023-09-22,平塚あきやまデンタルクリニック,平塚市紅谷町３－２３ ハリーフ湘南１階,神奈川県平塚市紅谷町3-23, ﾊﾘｰﾌ湘南1階,2023年09月05日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14289520&ir=03,na,秋山 崇,秋山 崇,na,"埋伏歯抜歯,顎関節症治療",na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,na,na,1|-|-,na,na,3|-|-,na,na,na,1,歯科
2023-09-22,ハルス北山田歯科クリニック,横浜市都筑区北山田１丁目１４－３２ハイグランドマンション１階,神奈川県横浜市都筑区北山田一丁目14-32,ﾊｲｸﾞﾗﾝﾄﾞﾏﾝｼｮﾝ1階,2023年09月05日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14290103&ir=03,na,羽田 雪子,羽田 雪子,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,歯科
2023-09-22,東海大学医学部付属病院,伊勢原市下糟屋１４３,神奈川県伊勢原市下糟屋143,,2023年09月02日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14020041&ir=01,na,学校法人東海大学 (松前義昭),渡辺雅彦,"歯科領域の一次診療,唇顎口蓋裂の歯科矯正治療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,顎変形症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,口腔領域の腫瘍の治療,唇顎口蓋裂治療",na,na,"['障害者に対するサービス内容(施設内の情報の表示)', '車椅子等利用者に対する配慮(施設のバリアフリー化を実施している,車椅子等利用者用駐車施設がある,多機能トイレを設置している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"退院時共同指導,救急搬送診療,訪問看護指示,介護職員等喀痰吸引等指示",na,19|-|-,na,na,8|-|-,2350,na,na,1,"循環器内科, 呼吸器内科, 消化器内科, 血液腫瘍内科, リウマチ科, 腎内分泌代謝内科, 脳神経内科, 内科, 心臓血管外科, 移植外科, 呼吸器外科, 消化器外科, 乳腺外科, 救命救急科, 小児外科, 脳神経外科, 整形外科, 形成外科, 小児科, 産科, 婦人科, 眼科, 皮膚科, 腎臓泌尿器科, 耳鼻咽喉科・頭頸部外科, 精神科, 放射線治療科, 放射線診断科, 麻酔科, リハビリテーション科, 歯科, 歯科口腔外科, 臨床検査科, 緩和ケア内科, 病理診断科"
2023-09-22,三浦しらとり園診療所,横須賀市長沢４丁目１３番１号,神奈川県横須賀市長沢四丁目13-1,,2023年09月01日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14097664&ir=02,na,神奈川県 (黒岩 祐治),古賀 聖名子,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療",口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,na,na,"['車椅子等利用者に対する配慮(施設のバリアフリー化を実施している)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,na,0.7|-|-,na,na,1.0|-|-,27.0,na,na,1,"内科, 精神科, 外科, 歯科"
2023-09-22,中山駅前エフ歯科クリニック,横浜市緑区寺山町６３－４Ｆ,神奈川県横浜市緑区寺山町63,4f,2023年08月31日,http://www.iryo-kensaku.jp/kanagawa/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=14290065&ir=03,na,藤森 大貴,藤森 大貴,"歯科領域の一次診療,成人の歯科矯正治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,na,"病院との連携,診療所との連携",1|-|-,na,na,2|-|-,na,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
