timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-22,小山歯科医院,千葉市中央区南町２－１１－１,千葉県千葉市中央区南町二丁目11-1,,2023年09月20日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12062901&ir=03,na,小山喜也,小山喜也,歯科領域の一次診療,na,na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,na,na,2.4|-|-,na,na,2.2|-|-,17.6,na,na,1,"歯科, 矯正歯科, 小児歯科"
2023-09-22,医療法人徳洲会　千葉西総合病院,松戸市金ケ作１０７－１,千葉県松戸市金ｹ作107-1,,2023年09月20日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12013617&ir=01,na,医療法人徳洲会 (東上 震一),三角 和雄,"成人の歯科矯正治療,唇顎口蓋裂の歯科矯正治療,顎変形症の歯科矯正治療,著しく歯科診療が困難な者の歯科治療","埋伏歯抜歯,顎関節症治療,顎変形症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,口腔領域の腫瘍の治療,唇顎口蓋裂治療",na,na,"['障害者に対するサービス内容(施設内点字ブロックの設置)', '車椅子等利用者に対する配慮(車椅子等利用者に対する配慮,施設のバリアフリー化を実施している,車椅子等利用者用駐車施設がある,多機能トイレを設置している,,バリアフリーに対応している設備の種類,障がい者用トイレの設置,エレベータの設置（２階以上の場合）)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"在宅患者訪問診療,救急搬送診療,在宅患者訪問リハビリテーション指導管理,訪問看護指示,介護職員等喀痰吸引等指示","病院との連携,診療所との連携,訪問看護ステーションとの連携,居宅介護支援事業所との連携,薬局との連携",4.3|-|-,na,na,5.2|-|-,924.1,na,na,1,"内科, 神経内科, 小児科, 外科, 整形外科, 形成外科, 脳神経外科, 心臓血管外科, 皮膚科, 泌尿器科, 産婦人科, 眼科, 耳鼻いんこう科, リハビリテーション科, 放射線科, 歯科, 歯科口腔外科, 麻酔科, 呼吸器内科, 消化器内科, 循環器内科, 臨床検査科, 消化器外科, 病理診断科, 血液内科, 糖尿病内科, 腎臓内科, 救急科, 腫瘍内科, 疼痛緩和内科, 呼吸器外科, 乳腺外科"
2023-09-22,医療法人愛育会常盤平歯科,松戸市常盤平１－５－１５,千葉県松戸市常盤平一丁目5-15,,2023年09月20日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12019542&ir=03,na,医療法人愛育会 (野村充),吹田直樹,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療",na,na,"['車椅子等利用者に対する配慮(車椅子等利用者に対する配慮,施設のバリアフリー化を実施している,,バリアフリーに対応している設備の種類)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,歯科疾患在宅療養管理",病院との連携,2|-|-,na,na,1|-|-,8.3,na,na,1,歯科
2023-09-22,医療法人同和会　千葉病院,船橋市飯山満町２－５０８,千葉県船橋市飯山満町二丁目508,,2023年09月16日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12066982&ir=01,na,医療法人同和会 (服部孝道),小松尚也,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療",na,na,na,"['障害者に対するサービス内容(点字による表示)', '車椅子等利用者に対する配慮(車椅子等利用者に対する配慮,施設のバリアフリー化を実施している,,バリアフリーに対応している設備の種類)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間対応ではない）,在宅患者訪問看護・指導",na,0.8|-|-,na,na,1|-|-,123.8,na,na,1,"精神科, 神経科, 神経内科, 歯科"
2023-09-22,千葉県立保健医療大学歯科診療室,千葉市美浜区若葉２－１０－１,千葉県千葉市美浜区若葉二丁目10-1,,2023年09月14日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12061824&ir=03,na,千葉県知事 (千葉県知事),酒巻 裕之,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['車椅子等利用者に対する配慮(車椅子等利用者に対する配慮,多機能トイレを設置している,,バリアフリーに対応している設備の種類,障がい者用トイレの設置)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",5|-|-,na,na,5|-|-,16,na,na,1,"歯科, 小児歯科, 歯科口腔外科"
2023-09-22,千葉大学医学部附属病院,千葉市中央区亥鼻１－８－１,千葉県千葉市中央区亥鼻一丁目8-1,,2023年08月28日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12054240&ir=01,na,国立大学法人千葉大学 (中山 俊憲),横手 幸太郎,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療,摂食機能障害の治療","埋伏歯抜歯,顎関節症治療,顎変形症治療,顎骨骨折治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,口腔領域の腫瘍の治療,唇顎口蓋裂治療",na,na,"['障害者に対するサービス内容(施設内の情報の表示)', '車椅子等利用者に対する配慮(車椅子等利用者に対する配慮,施設のバリアフリー化を実施している,車椅子等利用者用駐車施設がある,多機能トイレを設置している,,バリアフリーに対応している設備の種類,スロープの設置（段差が無い場合を含む）,障がい者用トイレの設置,エレベータの設置（２階以上の場合）)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"往診（２４時間対応ではない）,退院時共同指導,救急搬送診療,在宅患者訪問点滴注射管理指導,在宅患者訪問リハビリテーション指導管理,訪問看護指示,介護職員等喀痰吸引等指示,精神科訪問看護・指導,精神科訪問看護指示","訪問看護ステーションとの連携,居宅介護支援事業所との連携",30.2|-|-,na,na,4.0|-|-,2072.4,na,na,1,"内科, 心療内科, 精神科, アレルギー科, 小児科, 整形外科, 形成外科, 脳神経外科, 呼吸器外科, 心臓血管外科, 小児外科, 皮膚科, 泌尿器科, 産婦人科, 眼科, リハビリテーション科, 放射線科, 歯科, 歯科口腔外科, 麻酔科, 救急科, 病理診断科, 呼吸器内科, 循環器内科, 食道・胃腸外科, 頭頸部耳鼻いんこう科, リウマチ科, 感染症内科, 消化器内科, 血液内科, 腎臓内科, 糖尿病・代謝・内分泌・老年内科, 腫瘍内科, 肝臓・胆のう・膵臓外科, 乳腺外科, 脳神経内科, 臨床検査科"
2023-09-22,稲毛しぶや歯科クリニック,千葉市稲毛区稲毛東２－１２－１０,千葉県千葉市稲毛区稲毛東二丁目12-10,,2023年09月12日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12244406&ir=03,na,澁谷 一貴,澁谷 一貴,歯科領域の一次診療,埋伏歯抜歯,na,na,"['障害者に対するサービス内容(施設内の情報の表示)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,歯科訪問診療,na,2|-|-,na,na,na,1,na,na,1,"歯科, 小児歯科, 矯正歯科"
2023-09-22,医療法人社団本間歯科いそべ歯科診療所,千葉市美浜区磯辺６－５－１,千葉県千葉市美浜区磯辺六丁目5-1,,2023年09月13日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12061549&ir=03,na,医療法人社団 本間歯科 (本間 憲章),桶谷清美,"歯科領域の一次診療,成人の歯科矯正治療,著しく歯科診療が困難な者の歯科治療","埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['障害者に対するサービス内容(施設内の情報の表示)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,na,"病院との連携,診療所との連携",4|-|-,na,na,1|-|-,26.4,na,na,1,"歯科, 矯正歯科, 小児歯科, 歯科口腔外科"
2023-09-22,医療法人社団康寧会立川歯科医院我孫子診療所,我孫子市つくし野６－１－１５,千葉県我孫子市ﾂｸｼ野六丁目1-15,,2023年09月13日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12223573&ir=03,na,医療法人社団康寧会 (本多博一),大友 廣則,"歯科領域の一次診療,著しく歯科診療が困難な者の歯科治療",na,na,na,['受動喫煙を防止するための措置(施設内を全面禁煙としている)'],na,"歯科訪問診療,訪問歯科衛生指導,歯科疾患在宅療養管理,在宅患者訪問口腔リハビリテーション指導管理","病院との連携,診療所との連携",6|-|-,na,na,6|-|-,1.3,na,na,1,"歯科, 小児歯科, 歯科口腔外科"
2023-09-22,医療法人社団愛和会ニコ歯科クリニック,柏市末広町４番５号 金子ビルＡ棟４階,千葉県柏市末広町4-5, 金子ﾋﾞﾙa棟4階,2023年09月11日,http://www.iryo.pref.chiba.lg.jp/kensaku/IryoSisetsuInfo.aspx?sy=m&cm=s&di=n&id=12053937&ir=03,na,医療法人社団愛和会 (鄭 寛),鹿野 晃永,歯科領域の一次診療,"埋伏歯抜歯,顎関節症治療,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療",na,na,"['障害者に対するサービス内容(音声による情報の伝達)', '車椅子等利用者に対する配慮(バリアフリーに対応している設備の種類,エレベータの設置（２階以上の場合）)', '受動喫煙を防止するための措置(施設内を全面禁煙としている)']",na,"歯科訪問診療,訪問歯科衛生指導,歯科衛生士による訪問口腔衛生指導","病院との連携,診療所との連携,薬局との連携",1|-|-,na,na,1|-|-,25,na,na,1,"歯科, 小児歯科, 歯科口腔外科"
