timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-04,愛知学院大学歯学部附属病院,名古屋市千種区末盛通２－１１,愛知県名古屋市千種区末盛通二丁目11,,2023年6月2日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51865,学校法人,愛知学院,三谷 章雄,[],[],na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, 全身麻酔, 脊椎麻酔, ]",na,na,193|154|39,na,na,38|38|,17,na,na,1,"[耳鼻咽喉領域, 呼吸器領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 筋・骨格系及び外傷領域, リハビリ領域, 小児領域, 麻酔領域, 画像診断, 病理診断, 歯科領域, 歯科口腔(くう)外科領域, ]"
2023-09-04,愛知県がんセンター,名古屋市千種区鹿子殿１－１,愛知県名古屋市千種区鹿子殿1-1,,2023年1月23日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51860,個人,愛知県知事 大村 秀章,病院長 山本 一仁,[],[],na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, ,, 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅気管切開患者指導管理, ]",na,1|1|0,na,na,2|1|1,324,na,na,1,"[皮膚・形成外科領域, 神経・脳血管領域, 精神科・神経科領域, 眼領域, 耳鼻咽喉領域, 呼吸器領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 婦人科領域, 乳腺領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 筋・骨格系及び外傷領域, リハビリ領域, 麻酔領域, 緩和ケア領域, 放射線治療領域, 画像診断, 病理診断, 歯科領域, 歯科口腔(くう)外科領域, その他, ]"
2023-09-04,愛知県精神医療センター,名古屋市千種区徳川山町４－１－７,愛知県名古屋市千種区徳川山町四丁目1-7,,2023年1月31日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51859,個人,愛知県,院長 高木 宏,na,na,na,na,"[適時及び適温による食事の提供, 病床外での食事, 視覚障害者への配慮（点字ブロック設置）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]",na,na,na,0||0,na,na,na,,na,na,1,"[精神科・神経科領域, 画像診断, ]"
2023-09-04,医療法人東恵会 星ケ丘マタニティ病院,名古屋市千種区井上町２７,愛知県名古屋市千種区井上町27,,2023年3月9日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51869,個人,近藤 東臣,近藤 裕子,[],[],na,na,"[適時及び適温による食事の提供, 選択可能な入院食の提供, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[硬膜外麻酔, , ]","[在宅自己注射指導管理, 在宅小児経管栄養法指導管理, ]",na,1|1|0,na,na,2|1|1,22,na,na,1,"[精神科・神経科領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 産科領域, 婦人科領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 小児領域, 麻酔領域, 歯科領域, 歯科口腔(くう)外科領域, その他, ]"
2023-09-04,名古屋市立大学医学部附属東部医療センター,名古屋市千種区若水一丁目２番２３号,愛知県名古屋市千種区若水一丁目2-23,,2023年1月26日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=70672,公立大学法人,名古屋市立大学,大手 信之,[],[],na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, ,, 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅自己腹膜灌(かん)流指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, ]",na,2|1|1,na,na,2||2,385,na,na,1,"[皮膚・形成外科領域, 神経・脳血管領域, 精神科・神経科領域, 眼領域, 耳鼻咽喉領域, 呼吸器領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 産科領域, 婦人科領域, 乳腺領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 筋・骨格系及び外傷領域, リハビリ領域, 小児領域, 麻酔領域, 緩和ケア領域, 放射線治療領域, 画像診断, 病理診断, 歯科領域, 歯科口腔(くう)外科領域, その他, ]"
2023-09-04,名古屋市立大学医学部附属西部医療センター,名古屋市北区平出町１丁目１番地の１,愛知県名古屋市北区平出町一丁目1-1,,2023年3月15日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=70690,個人,郡 健二郎,大原 弘隆,[],[],na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅妊娠糖尿病患者指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅悪性腫瘍等患者指導管理, 在宅悪性腫瘍患者共同指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, 在宅難治性皮膚疾患処置指導管理, ]",na,8|4|4,na,na,3|1|2,385,na,na,1,"[皮膚・形成外科領域, 神経・脳血管領域, 精神科・神経科領域, 眼領域, 耳鼻咽喉領域, 呼吸器領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 産科領域, 婦人科領域, 乳腺領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 筋・骨格系及び外傷領域, リハビリ領域, 小児領域, 麻酔領域, 緩和ケア領域, 放射線治療領域, 画像診断, 病理診断, 歯科領域, 歯科口腔(くう)外科領域, その他, ]"
2023-09-04,愛知県青い鳥医療療育センター,名古屋市西区中小田井５丁目８９,愛知県名古屋市西区中小田井五丁目89,,2023年1月30日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51896,個人,愛知県,別府 玲子,[],"[著しく歯科診療が困難な者の歯科治療, ]",na,na,"[適時及び適温による食事の提供, 病床外での食事, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[神経ブロック, ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, 在宅気管切開患者指導管理, ]",na,1|1|0,na,na,3|2|1,148,na,na,1,"[皮膚・形成外科領域, 神経・脳血管領域, 精神科・神経科領域, 眼領域, 耳鼻咽喉領域, 呼吸器領域, 筋・骨格系及び外傷領域, リハビリ領域, 小児領域, 麻酔領域, 画像診断, 歯科領域, ]"
2023-09-04,医療法人北林会 北林病院,名古屋市中村区中村町７丁目５８番地,愛知県名古屋市中村区中村町七丁目58,,2023年3月7日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51906,医療法人,北林会,請井 伸行,[],[],na,na,"[適時及び適温による食事の提供, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 健康増進法第28条第13号に規定する特定屋外喫煙場所の設置, , 駐車場の有無（契約駐車場も含む）]",na,na,na,1|1|,na,na,2|1|1,,na,na,1,"[神経・脳血管領域, 精神科・神経科領域, 循環器系領域, 画像診断, 歯科領域, 歯科口腔(くう)外科領域, ]"
2023-09-04,日本赤十字社愛知医療センター名古屋第一病院,名古屋市中村区道下町３丁目３５番地,愛知県名古屋市中村区道下町三丁目35,,2023年1月30日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51903,個人,日本赤十字社,錦見 尚道,[],[],na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 視覚障害者への配慮（点字ブロック設置）, 視覚障害者への配慮（点字表示対応）, 車椅子利用者への配慮（バリアフリー構造）, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, ,, 全身麻酔, ,, 硬膜外麻酔, , 脊椎麻酔, ,, 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, ,, ]","[退院前在宅療養指導管理, 在宅自己注射指導管理, 在宅妊娠糖尿病患者指導管理, 在宅自己腹膜灌(かん)流指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅迷走神経電気刺激治療指導管理, 在宅肺高血圧症患者指導管理, 在宅気管切開患者指導管理, 在宅難治性皮膚疾患処置指導管理, 在宅経腸投薬指導管理, ]",na,10|10|0,na,na,7|7|0,672,na,na,1,"[皮膚・形成外科領域, 神経・脳血管領域, 精神科・神経科領域, 眼領域, 耳鼻咽喉領域, 呼吸器領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 産科領域, 婦人科領域, 乳腺領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 筋・骨格系及び外傷領域, リハビリ領域, 小児領域, 麻酔領域, 緩和ケア領域, 放射線治療領域, 画像診断, 病理診断, 歯科領域, 歯科口腔(くう)外科領域, その他, ]"
2023-09-04,国家公務員共済組合連合会 名城病院,名古屋市中区三の丸１－３－１,愛知県名古屋市中区三ﾉ丸一丁目3-1,,2023年1月29日,https://iryojoho.pref.aichi.jp/medical/detail.cfm?objectid=51951,個人,国家公務員共済組合連合会,後藤 秀実,[],[],na,na,"[適時及び適温による食事の提供, 病床外での食事, 選択可能な入院食の提供, 聴覚障害者への配慮（施設内情報表示対応）, 視覚障害者への配慮（点字ブロック設置）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設, 多機能トイレの設置(車いす対応トイレに加え、おむつ替えシート・ベビーチェア等), 院内売店の設置, 外来者用食堂の設置, 施設内における全面禁煙の実施, , 駐車場の有無（契約駐車場も含む）]","[麻酔科標榜医による麻酔（麻酔管理）, , 全身麻酔, , 硬膜外麻酔, , 脊椎麻酔, , 神経ブロック, 硬膜外ブロックにおける麻酔剤の持続注入, , ]","[在宅自己注射指導管理, 在宅酸素療法指導管理, 在宅中心静脈栄養法指導管理, 在宅成分栄養経管栄養法指導管理, 在宅小児経管栄養法指導管理, 在宅半固形栄養経管栄養法指導管理, 在宅自己導尿指導管理, 在宅人工呼吸指導管理, 在宅持続陽圧呼吸療法指導管理, 在宅寝たきり患者処置指導管理, ]",na,2|2|0,na,na,3|0|3,186,na,na,1,"[皮膚・形成外科領域, 神経・脳血管領域, 精神科・神経科領域, 眼領域, 耳鼻咽喉領域, 呼吸器領域, 消化器系領域, 肝・胆道・膵（すい）臓領域, 循環器系領域, 腎・泌尿器系領域, 産科領域, 婦人科領域, 乳腺領域, 内分泌・代謝・栄養領域, 血液・免疫系領域, 筋・骨格系及び外傷領域, リハビリ領域, 小児領域, 麻酔領域, 画像診断, 病理診断, 歯科領域, 歯科口腔(くう)外科領域, その他, ]"
