timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-04,あいざわ歯科クリニック,甲府市小瀬町５５０－４,山梨県甲府市小瀬町550-4,,2023/06/12,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000129,na,医療法人 再生会 理事長 相澤八大,相澤 八大,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設のバリアフリー化の実施', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,8.5|5|3.5,54,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, 矯正歯科, ]"
2023-09-04,医療法人　貴翔会　愛歯科クリニック,甲府市横根町５５９－４,山梨県甲府市横根町559-4,,2019/07/04,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000009,na,今井 清貴,今井 清貴,na,na,na,na,"['院内処方', '施設のバリアフリー化の実施']",na,na,na,1|1|-,na,na,na,2.2,na,na,1,"[歯科, ]"
2023-09-04,あきやま歯科医院,甲府市高畑１－２２－６,山梨県甲府市高畑一丁目22-6,,2021/06/30,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000044,na,秋山 賢一,秋山 賢一,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療', '口唇・舌・口くう粘膜の炎症・外傷・腫瘍の治療']",na,na,"['院内処方', '音声による情報の伝達', '施設内の情報の表示', '施設のバリアフリー化の実施', '施設内における全面禁煙の実施', '喫煙室の設置', '医療に関する相談員の配置']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療', '訪問歯科衛生指導']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,5|2|3,18,na,na,1,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-04,秋山歯科医院,甲府市北口２－３－８,山梨県甲府市北口二丁目3-8,,2019/10/28,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000125,na,秋山 洋,秋山 洋,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療', '訪問歯科衛生指導', '在宅患者訪問口くうリハビリテーション指導管理']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '薬局との連携']",2|2|-,na,na,2.5|2|0.5,40.6,na,na,1,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-04,雨宮歯科医院,甲府市中央１－１－１７,山梨県甲府市中央一丁目1-17,,2023/06/22,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000089,na,天野静子,天野静子,['歯科領域の一次診療'],na,na,na,['施設内における全面禁煙の実施'],na,na,"['病院との連携', '薬局との連携']",2|1|1,na,na,1|-|1,2,na,na,1,"[歯科, ]"
2023-09-04,医療法人　石原会　石原歯科医院,甲府市国母６－２－１０　石原ビル３Ｆ,山梨県甲府市国母六丁目2-10, 石原ﾋﾞﾙ3f,2022/06/27,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000049,na,石原 瑞穂,石原 瑞穂,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設のバリアフリー化の実施', '施設内における全面禁煙の実施', '医療に関する相談員の配置']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",1|1|-,na,na,na,13,na,na,1,"[歯科, 矯正歯科, 小児歯科, ]"
2023-09-04,医療法人社団桜栄会甲府デンタルクリニック,甲府市北口一丁目２番１４号　北口プラザビル１階　１０２号室,山梨県甲府市北口一丁目2-14, 北口ﾌﾟﾗｻﾞﾋﾞﾙ1階 102-,2022/06/27,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000641,na,医療法人社団桜栄会 理事長 細田 ひとみ,石邊 尚朋,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導']",['病院との連携'],3.5|2|1.5,na,na,2.6|-|2.6,9.2,na,na,1,"[歯科, 小児歯科, 歯科口腔外科, ]"
2023-09-04,池田歯科医院,甲府市長松寺町５５１　坂本ビル２Ｆ,山梨県甲府市長松寺町551, 坂本ﾋﾞﾙ2f,2020/06/05,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000106,na,土屋 庸子,土屋 庸子,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,['歯科訪問診療'],"['病院との連携', '診療所との連携']",1|1|-,na,na,3|1|2,15,na,na,1,"[歯科, 小児歯科, ]"
2023-09-04,池谷歯科医院,甲府市上今井町２６０－５,山梨県甲府市上今井町260-5,,2023/06/12,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000059,na,池谷剛,池谷剛,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇・舌・口くう粘膜の炎症・外傷・腫瘍の治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']",['病院との連携'],1|1|-,na,na,1.5|-|3,18.3,na,na,1,"[歯科, ]"
2023-09-04,石部歯科医院,甲府市北口２－９－１２　ニシコー北口駅前ビル２階,山梨県甲府市北口二丁目9-12, ﾆｼｺｰ北口駅前ﾋﾞﾙ2階,2014/09/25,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000620,na,石部元朗,石部元朗,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['施設のバリアフリー化の実施', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,3|2|1,na,na,na,1,"[歯科, 歯科口腔外科, ]"
