timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-15,谷口歯科医院,東伯郡湯梨浜町久留１８１,鳥取県東伯郡湯梨浜町大字久留181,,2023年2月2日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=76,個人,谷口　陽子,谷口　陽子,"[1. 歯科領域の一次診療, ]",[],na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],[],[],1|-|-,-|-|-,-|-|-,1|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,安藤歯科医院,鳥取県日野郡日野町黒坂１３９０,鳥取県日野郡日野町黒坂1390,,2017年3月29日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=77,個人,安藤潤一郎,安藤潤一郎,[],[],na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],"[4. 在宅患者訪問診療, ]",[],1|-|-,-|-|-,-|-|-,1|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,ララ歯科クリニック,鳥取県東伯郡三朝町大瀬１０７６−４,鳥取県東伯郡三朝町大字大瀬1076-4,,2023年1月6日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1353,個人,伊達岡　陽一,伊達岡　陽一,"[1. 歯科領域の一次診療, 5. 障がい者等の歯科治療, ]","[1. 埋伏歯抜歯, 2. 顎関節症治療, 4. 顎骨骨折治療, 5. 口唇・舌・口腔粘膜の炎症・外傷・腫瘍の治療, ]",na,na,"[駐車場の有無, 車椅子等利用者用駐車施設の有無, 1. 施設内における全面禁煙の実施, ]",[],"[2. 上記以外の往診, 8. 救急搬送診療, 11. モニター測定, ]","[1. 病院との連携, ]",1|-|-,-|-|-,-|-|-,-|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,一般社団法人　鳥取県中部歯科医師会　口腔衛生センター,倉吉市東巌城町68番地,鳥取県倉吉市東巌城町68,,2020年6月22日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1354,個人,一般社団法人　鳥取県中部歯科医師会　会長　石亀　裕通,石亀　裕通,"[1. 歯科領域の一次診療, ]",[],na,na,"[駐車場の有無, 4. 施設内点字ブロックの設置, 施設のバリアフリー化の実施, 1. 施設内における全面禁煙の実施, ]",[],[],"[5. 薬局との連携, ]",32|-|-,-|-|-,-|-|-,1|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,あけしま歯科,鳥取県倉吉市幸町507-20,鳥取県倉吉市幸町507-20,,2023年1月4日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1355,個人,医療法人明生会理事長明島淳吾,明島淳吾,"[1. 歯科領域の一次診療, 2. 成人の歯科矯正治療, 5. 障がい者等の歯科治療, ]","[2. 顎関節症治療, ]",na,na,"[駐車場の有無, 施設のバリアフリー化の実施, ]",[],"[21. 歯科訪問診療, 22. 訪問歯科衛生指導, 23. 歯科疾患在宅療養管理, ]",[],4|-|-,-|-|-,-|-|-,2|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,大月歯科医院,倉吉市上井３３３−１６,鳥取県倉吉市上井333-16,,2022年4月6日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1356,個人,大月　弘司,大月　弘司,"[1. 歯科領域の一次診療, ]","[1. 埋伏歯抜歯, ]",na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],[],"[1. 病院との連携, ]",1|-|-,-|-|-,-|-|-,5|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,かどわき歯科クリニック,倉吉市上井３６４−５,鳥取県倉吉市上井364-5,,2022年5月22日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1358,個人,門脇　一郎,門脇　一郎,"[1. 歯科領域の一次診療, ]","[1. 埋伏歯抜歯, ]",na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],[],[],2|-|-,-|-|-,-|-|-,2|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,河崎歯科医院,倉吉市福庭町２−１３,鳥取県倉吉市福庭町二丁目13,,2020年7月22日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1359,個人,河崎　一寿,河崎　一寿,[],"[1. 埋伏歯抜歯, 2. 顎関節症治療, ]",na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],"[2. 上記以外の往診, 4. 在宅患者訪問診療, 21. 歯科訪問診療, ]",[],1|-|-,-|-|-,-|-|-,4|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,医療法人木本歯科医院,鳥取県倉吉市昭和町１−１７４,鳥取県倉吉市昭和町一丁目174,,2023年1月10日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1360,個人,医療法人木本歯科医院　理事長　木本達巳,木本　達巳,"[1. 歯科領域の一次診療, 2. 成人の歯科矯正治療, ]","[2. 顎関節症治療, ]",na,na,"[駐車場の有無, 4. 施設内点字ブロックの設置, 施設のバリアフリー化の実施, 車椅子等利用者用駐車施設の有無, 1. 施設内における全面禁煙の実施, ]",[],"[2. 上記以外の往診, 4. 在宅患者訪問診療, ]",[],1|-|-,-|-|-,-|-|-,3|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,医療法人くまの歯科医院,鳥取県倉吉市西町２７０２,鳥取県倉吉市西町2702,,2023年7月10日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1361,個人,医療法人　くまの歯科医院　理事長　熊野　秀子,熊野　秀子,"[1. 歯科領域の一次診療, 2. 成人の歯科矯正治療, ]","[2. 顎関節症治療, ]",na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],"[21. 歯科訪問診療, ]","[1. 病院との連携, 2. 診療所との連携, 5. 薬局との連携, ]",1|-|-,-|-|-,-|-|-,3|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,しばた歯科,倉吉市清谷町１−８−１,鳥取県倉吉市清谷町一丁目8-1,,2023年1月4日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1363,個人,柴田　和幸,柴田　和幸,"[1. 歯科領域の一次診療, 5. 障がい者等の歯科治療, ]","[2. 顎関節症治療, ]",na,na,"[駐車場の有無, 施設のバリアフリー化の実施, 1. 施設内における全面禁煙の実施, ]",[],"[2. 上記以外の往診, 21. 歯科訪問診療, ]","[2. 診療所との連携, ]",1|-|-,-|-|-,-|-|-,1|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,ちか歯科クリニック,倉吉市西福守町５９２−１,鳥取県倉吉市西福守町592-1,,2023年1月18日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1364,個人,近　豊浩,近　豊浩,"[1. 歯科領域の一次診療, 2. 成人の歯科矯正治療, 5. 障がい者等の歯科治療, 6. 摂食機能障害の治療, ]","[1. 埋伏歯抜歯, 2. 顎関節症治療, 5. 口唇・舌・口腔粘膜の炎症・外傷・腫瘍の治療, ]",na,na,"[駐車場の有無, 施設のバリアフリー化の実施, 1. 施設内における全面禁煙の実施, ]",[],"[1. 往診（終日対応することができるものに限る）, 4. 在宅患者訪問診療, 21. 歯科訪問診療, 22. 訪問歯科衛生指導, 23. 歯科疾患在宅療養管理, ]","[4. 居宅介護支援事業所との連携, ]",1|-|-,-|-|-,-|-|-,4|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,花池デンタルクリニック,倉吉市生田３５６−２,鳥取県倉吉市生田356-2,,2023年1月10日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1365,個人,花池　泰徳,花池　泰徳,"[1. 歯科領域の一次診療, ]",[],na,na,"[駐車場の有無, 施設のバリアフリー化の実施, 車椅子等利用者用駐車施設の有無, 1. 施設内における全面禁煙の実施, ]",[],[],"[1. 病院との連携, 2. 診療所との連携, 5. 薬局との連携, ]",1|-|-,-|-|-,-|-|-,5|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,ひぐち歯科クリニック,倉吉市明治町２丁目４３,鳥取県倉吉市明治町二丁目43,,2023年1月1日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1366,個人,樋口　敬訓,樋口　敬訓,"[1. 歯科領域の一次診療, 2. 成人の歯科矯正治療, ]","[1. 埋伏歯抜歯, 2. 顎関節症治療, ]",na,na,"[駐車場の有無, 施設のバリアフリー化の実施, 車椅子等利用者用駐車施設の有無, 多機能トイレの設置, 1. 施設内における全面禁煙の実施, ]",[],[],"[1. 病院との連携, ]",2|-|-,-|-|-,-|-|-,3|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,ひまわり歯科医院,境港市外江町２４５５,鳥取県境港市外江町2455,,2018年5月10日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1367,個人,植村　幸雄,植村　幸雄,"[1. 歯科領域の一次診療, ]",[],na,na,"[駐車場の有無, 1. 手話による対応, 2. 施設内の情報の表示, 1. 施設内における全面禁煙の実施, ]",[],"[2. 上記以外の往診, 4. 在宅患者訪問診療, 21. 歯科訪問診療, ]","[1. 病院との連携, 4. 居宅介護支援事業所との連携, ]",1|-|-,-|-|-,-|-|-,2|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,医療法人社団福島歯科医院,鳥取県倉吉市伊木２４１−１３,鳥取県倉吉市伊木241-13,,2023年1月31日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1368,個人,医療法人社団　福島歯科医院,福島　光洋,"[1. 歯科領域の一次診療, ]","[1. 埋伏歯抜歯, 2. 顎関節症治療, 5. 口唇・舌・口腔粘膜の炎症・外傷・腫瘍の治療, ]",na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],[],"[1. 病院との連携, ]",1|-|-,-|-|-,-|-|-,-|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,松本歯科医院,倉吉市住吉町５８,鳥取県倉吉市住吉町58,,2023年1月16日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1369,個人,松本　博久,松本　博久,"[1. 歯科領域の一次診療, 5. 障がい者等の歯科治療, ]","[5. 口唇・舌・口腔粘膜の炎症・外傷・腫瘍の治療, ]",na,na,"[駐車場の有無, 1. 施設内における全面禁煙の実施, ]",[],[],[],1|-|-,-|-|-,-|-|-,-|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
2023-09-15,三代歯科医院,倉吉市上井町２丁目８−２１,鳥取県倉吉市上井町二丁目8-21,,2023年7月19日,https://medinfo.pref.tottori.lg.jp/ComDisp/dental_03_view.php?ID=1370,個人,遠藤　五月,遠藤　五月,"[1. 歯科領域の一次診療, ]",[],na,na,"[駐車場の有無, 2. 健康増進法第28条第13号に規定する特定屋外喫煙場所の設置, ]",[],[],[],1|-|-,-|-|-,-|-|-,-|-|-,na,na,na,1,"['歯科領域', '口腔外科領域']"
