timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-12,あい歯科クリニック,岩手県盛岡市月が丘三丁目３９番５０号,岩手県盛岡市月ｶﾞ丘三丁目39-50,,2023/06/27,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300238&by=,28 個人,藤原 英明,藤原 英明,"['歯科領域の一次診療', '障害者の歯科治療']",na,na,na,['院内全面禁煙の実施'],na,na,na,1|-|-,0|-|-,na,3|-|-,33.9,na,na,1,['歯科']
2023-09-12,あい歯科,一関市五十人町５１,岩手県一関市五十人町51,,2023/06/06,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300234&by=,28 個人,建部 仁,建部 仁,"['歯科領域の一次診療', '専門的口腔ケア', '摂食嚥下リハビリテーション']",na,na,na,"['院内処方の有無', '施設内全面禁煙の実施']",na,"['往診（上記以外）', '歯科訪問診療']","['病院', '診療所']",1|-|-,0|-|-,na,0|-|-,1,na,na,1,['歯科']
2023-09-12,愛歯科診療所 ,盛岡市向中野一丁目10-31,岩手県盛岡市向中野一丁目10-31,,2016/01/14,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300239&by=,22 医療法人,医療法人 ア歯会 理事長 照井純,照井 純,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['車椅子利用者に対する配慮(施設のバリアフリー化の実施, 車椅子対応トイレの設置)', '院内全面禁煙の実施']",na,['歯科訪問診療'],na,2|-|-,na,na,2|-|-,15,na,na,1,"['歯科', '矯正歯科', '小児歯科']"
2023-09-12,あおいデンタル,花巻市本館３丁目６−１,岩手県花巻市本館三丁目6-1,,2018/06/12,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300737&by=,28 個人,佐藤 博昭,佐藤 博昭,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,"['歯科', '小児歯科']"
2023-09-12,青木歯科医院,九戸郡洋野町種市２３－２９－９,岩手県九戸郡洋野町種市23-29-9,,2023/05/23,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300094&by=,28 個人,青木 一,青木 一,"['歯科領域の一次診療', '障害者の歯科治療', '専門的口腔ケア']",na,na,na,"['院内処方の有無', '車椅子利用者に対する配慮(施設のバリアフリー化の実施, 車椅子対応トイレの設置)', '施設内全面禁煙の実施, 院内全面禁煙の実施']",na,['歯科訪問診療'],"['病院', '診療所']",2|-|-,1|-|-,na,0|-|-,25,na,na,1,['歯科']
2023-09-12,アオキ歯科医院,八幡平市荒屋新町１０９,岩手県八幡平市荒屋新町109,,2019/08/23,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300170&by=,28 個人,青木 修治,青木 修治,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,['院内処方の有無'],na,"['往診（上記以外）', '在宅患者訪問診療', '歯科訪問診療']",['診療所'],1|-|-,na,na,1|-|-,15,na,na,1,['歯科']
2023-09-12,あおば歯科小児歯科クリニック,岩手県盛岡市前九年３丁目１９－４６,岩手県盛岡市前九年三丁目19-46,,2017/06/27,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300542&by=,28 個人,佐藤 輝子,野坂 久美子,"['歯科領域の一次診療', '障害者の歯科治療', '専門的口腔ケア']","['埋伏歯抜歯', '口唇・舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['車椅子利用者に対する配慮(施設のバリアフリー化の実施)', '施設内全面禁煙の実施']",na,"['往診（上記以外）', '歯科訪問診療']",na,2|-|-,na,na,3|-|-,31.7,na,na,1,"['歯科', '小児歯科']"
2023-09-12,赤坂歯科医院,岩手県盛岡市八幡町１－１１,岩手県盛岡市八幡町1-11,,2023/06/27,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300240&by=,28 個人,赤坂 栄里子,赤坂 栄里子,"['歯科領域の一次診療', '障害者の歯科治療']",na,na,na,"['院内処方の有無', '院内全面禁煙の実施']",na,['歯科訪問診療'],na,1|-|-,1|-|-,na,0|-|-,10,na,na,1,['歯科']
2023-09-12,あかさか歯科クリニック,北上市花園町２丁目５－１５,岩手県北上市花園町二丁目5-15,,2023/05/25,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300505&by=,28 個人,赤坂 孝夫,赤坂 孝夫,"['歯科領域の一次診療', '障害者の歯科治療']","['埋伏歯抜歯', '口唇・舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,['施設内全面禁煙の実施'],na,na,na,2|-|-,na,na,0|-|-,15,na,na,1,"['歯科', '小児歯科']"
2023-09-12,赤ちゃん・こども歯科,盛岡市上田２－９－２１,岩手県盛岡市上田二丁目9-21,,2017/06/23,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300241&by=,28 個人,川越 素行,川越 素行,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療', '障害者の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇・舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方の有無', '施設内全面禁煙の実施, 院内全面禁煙の実施']",na,na,na,2|-|-,0|-|-,na,2|-|-,25,na,na,1,"['歯科', '矯正歯科', '小児歯科', '歯科口腔外科']"
2023-09-12,あき矯正歯科医院,久慈市長内町第32地割１－３,岩手県久慈市長内町第32-1-3,,2023/05/24,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300756&by=,28 個人,吉田 彰英,吉田 彰英,na,na,na,na,"['院内処方の有無', '院内全面禁煙の実施']",na,na,na,1|-|-,0|-|-,na,2|-|-,na,na,na,1,['矯正歯科']
2023-09-12,赤荻歯科医院,一関市赤荻字荻野１５１－５,岩手県一関市赤荻字荻野151-5,,2023/06/27,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300225&by=,28 個人,明石 雅江,明石 雅江,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方の有無', '車椅子利用者に対する配慮(施設のバリアフリー化の実施, 車椅子対応トイレの設置)', '施設内全面禁煙の実施']",na,na,na,1|-|-,na,na,1|-|-,31.5,na,na,1,['歯科']
2023-09-12,あだち歯科クリニック,岩手県北上市村崎野17-43-1,岩手県北上市村崎野17-43-1,,2023/06/05,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300675&by=,28 個人,安達 孝二,安達 孝二,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方の有無', '車椅子利用者に対する配慮(施設のバリアフリー化の実施, 車椅子対応トイレの設置)', '院内全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導']","['病院', '診療所']",2|-|-,0|-|-,na,2|-|-,30,na,na,1,"['歯科', '小児歯科', '歯科口腔外科']"
2023-09-12,阿部医院歯科,一関市厳美町字沖野々174,岩手県一関市厳美町字沖野々174,,2023/06/12,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300703&by=,28 個人,山田 明彦,山田 明彦,na,na,na,na,na,na,na,na,1|-|-,0|-|-,na,0|-|-,0,na,na,1,['歯科']
2023-09-12,あべ歯科医院,奥州市胆沢小山字尼沼38番地18,岩手県奥州市胆沢小山字尼沼38-18,,2023/06/12,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300439&by=,28 個人,安部 道,安部 道,"['歯科領域の一次診療', '障害者の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇・舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方の有無', '障がい者に対する配慮(施設内の情報の表示（掲示板等による案内）)', '施設内全面禁煙の実施']",na,['歯科訪問診療'],na,1|-|-,0|-|-,na,2|-|-,28,na,na,1,"['歯科', '小児歯科']"
2023-09-12,阿部歯科医院,岩手県大船渡市立根町字宮田７０－９,岩手県大船渡市立根町字宮田70-9,,2023/06/26,http://www.med-info.pref.iwate.jp/imin/kikan/show-shika-detail2.do?f.kikanCd=03300418&by=,28 個人,阿部 幸一,阿部 幸一,"['歯科領域の一次診療', '障害者の歯科治療', '専門的口腔ケア']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方の有無', '障がい者に対する配慮(施設内の情報の表示（掲示板等による案内）)', '車椅子利用者に対する配慮(施設のバリアフリー化の実施)', '院内全面禁煙の実施']",na,['歯科訪問診療'],na,1|-|-,0|-|-,na,3|-|-,30,na,na,1,['歯科']
