timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-15,はぎわら歯科クリニック,新潟市中央区出来島１－６－１ メディカルビル県庁前２階,新潟県新潟市中央区出来島一丁目6-1, ﾒﾃﾞｨｶﾙﾋﾞﾙ県庁前2階,2023年01月09日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=12014,社会福祉法人,修愛会,萩原　和夫,"[歯科領域の一次診療, , ]","[顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（バリアフリー構造）, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 訪問歯科衛生指導, ]","[診療所との連携, ]",1.7|1|0.7,-|-|-,-|-|-,3.2|3|0.2,7.2,37.90064,139.023639,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,新潟県庁内歯科診療所,新潟市中央区新光町４番地１号,新潟県新潟市中央区新光町4-1,,2021年01月06日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=12028,個人,笹川 武次郎,笹川　武次郎,"[歯科領域の一次診療, 著しく歯科診療が困難な者（障害者等）の歯科治療, ]",na,na,na,na,na,na,na,1.0|1|－,-|-|-,-|-|-,0.5|－|0.5,5.1,37.902029,139.020945,1,"[歯科領域, ]"
2023-09-15,千歳歯科クリニック,新潟市中央区新光町５－１ 千歳ビル１Ｆ,新潟県新潟市中央区新光町5-1, 千歳ﾋﾞﾙ1f,2023年01月12日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=11982,個人,近藤 敏明,近藤　敏明,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（バリアフリー構造）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, ]",1.0|1|－,-|-|-,-|-|-,3.0|3|－,17.0,37.900168,139.022556,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,かいづクリニックドンテール,新潟市中央区出来島１丁目５－４３,新潟県新潟市中央区出来島一丁目5-43,,2023年02月01日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=13051,個人,貝津 徹,貝津徹,"[歯科領域の一次診療, 著しく歯科診療が困難な者（障害者等）の歯科治療, ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（バリアフリー構造）, 施設内における全面禁煙の実施, 医療相談（患者相談）対応窓口の設置, ]",na,na,"[病院との連携, ]",1.0|1|－,-|-|-,-|-|-,1.4|1|0.4,15.5,37.900057,139.024639,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,社会医療法人仁愛会新潟中央病院,新潟市中央区新光町１－１８,新潟県新潟市中央区新光町1-18,,2023年01月27日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=10105,社会医療法人,仁愛会,山崎　昭義,"[歯科領域の一次診療, 摂食機能障害の治療, 著しく歯科診療が困難な者（障害者等）の歯科治療, , ]","[埋伏歯抜歯, 顎骨骨折治療, 顎関節症治療, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 車椅子利用者への配慮（バリアフリー構造）, 車椅子等利用者用駐車施設がある, 施設内における全面禁煙の実施, 医療相談（患者相談）対応窓口の設置, ]",na,na,na,na,-|-|-,-|-|-,na,265.1,37.904584,139.026416,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,村田歯科医院,新潟市中央区関屋大川前１－７－１５,新潟県新潟市中央区関屋大川前一丁目7-15,,2018年04月19日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=12080,個人,村田 紀夫,村田　紀夫,"[歯科領域の一次診療, 著しく歯科診療が困難な者（障害者等）の歯科治療, 成人の歯科矯正治療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, ]",na,"[往診（終日対応可能以外）, 歯科訪問診療, 在宅患者訪問診療, ]","[病院との連携, ]",1.0|1|－,-|-|-,-|-|-,1.0|1|－,7.0,37.904028,139.015556,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,荒井歯科医院,新潟市中央区上近江４丁目２番２０号 日生第２ビル１階,新潟県新潟市中央区上近江四丁目2-20, 日生第2ﾋﾞﾙ1階,2023年01月04日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=12004,個人,荒井 節男,荒井　節男,"[歯科領域の一次診療, 摂食機能障害の治療, 著しく歯科診療が困難な者（障害者等）の歯科治療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 歯科疾患在宅療養管理, 訪問歯科衛生指導, ]","[病院との連携, 訪問看護ステーションとの連携, 診療所との連携, 居宅介護支援事業所との連携, ]",1.0|1|－,-|-|-,-|-|-,3.5|1|2.5,25.0,37.899529,139.030972,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,長井歯科医院,新潟市中央区上所上３丁目１番３５号,新潟県新潟市中央区上所上三丁目1-35,,2023年01月30日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=11973,個人,長井 隆,長井　隆,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場も含む）, 視覚障がい者への配慮（音声による情報の伝達）, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, ]",na,2.0|2|－,-|-|-,-|-|-,1.0|1|－,12.0,37.903473,139.031999,1,"[歯科領域, 歯科口腔外科領域]"
2023-09-15,アルモニ矯正歯科,新潟市中央区上近江４丁目１２番２０号 ＤｅＫＫＹ４０１ １Ｆ,新潟県新潟市中央区上近江四丁目12-20, dekky401 1f,2023年01月06日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=12355,個人,小林 仁,小林　仁,"[成人の歯科矯正治療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,4.0|3|1.0,15.8,37.897946,139.030361,1,"[歯科領域, ]"
2023-09-15,宮尾歯科クリニック,新潟市中央区上近江４丁目１２番２０号 ＤｅＫＫＹ４０１ １Ｆ,新潟県新潟市中央区上近江四丁目12-20, dekky401 1f,2023年01月10日,http://qq.niigata-iyaku.jp/qq15/qqport/kenmintop/detail/fk1102.php?kinouid=fk9117&sisetuid=12353,個人,宮尾 益佳,宮尾　益佳,"[歯科領域の一次診療, , ]","[顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場も含む）, 車椅子利用者への配慮（バリアフリー構造）, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, 在宅患者歯科治療時医療管理, 訪問歯科衛生指導, 在宅患者訪問口腔リハビリテーション指導管理, 歯科疾患在宅療養管理, 小児在宅患者訪問口腔リハビリテーション指導管理, ]","[病院との連携, 薬局との連携, 診療所との連携, ]",2.0|2|－,-|-|-,-|-|-,5.0|4|1.0,33.0,37.897946,139.030361,1,"[歯科領域, 歯科口腔外科領域]"
