timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-16,臼井歯科医院,下田市六丁目４５４－３,静岡県下田市六丁目454-3,,2023年01月25日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13505,個人,臼井 美智子,臼井　美智子,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,na,5.0,34.675067,138.933684,1,[歯科、小児歯科]
2023-09-16,勝田歯科医院,下田市一丁目２０－２４,静岡県下田市一丁目20-24,,2023年01月08日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13507,個人,勝田洋平,勝田　洋平,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,－|－|－,20.0,34.675511,138.944238,1,[歯科]
2023-09-16,キクチ歯科医院,下田市河内１４９－４,静岡県下田市河内149-4,,2022年12月24日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13512,個人,菊池建司,菊池建司,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,－|－|－,20.1,34.700231,138.939266,1,[歯科]
2023-09-16,菊池歯科医院,下田市二丁目１２－２６,静岡県下田市二丁目12-26,,2022年12月24日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13503,個人,菊池 毅,菊池　毅,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 薬局との連携, 診療所との連携, ]",1.0|1|－,-|-|-,-|-|-,na,30.0,34.673622,138.942794,1,[歯科]
2023-09-16,矯正歯科兼松医院,下田市東本郷１－９－２１,静岡県下田市東本郷一丁目9-21,,2022年12月21日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13523,個人,兼松 淳子,兼松　淳子,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,na,2.0|2|－,-|-|-,-|-|-,1.5|－|1.5,20.0,34.679872,138.946488,1,[歯科、矯正歯科]
2023-09-16,笹本歯科診療所,下田市二丁目１－２０,静岡県下田市二丁目1-20,,2023年01月06日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13502,個人,笹本 牧男,笹本　牧男,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,na,4.1,34.674317,138.942655,1,[歯科]
2023-09-16,杉山歯科診療所,下田市西本郷１－７－２０,静岡県下田市西本郷一丁目7-20,,2023年01月03日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13515,個人,杉山 秀元,杉山　秀元,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,－|－|－,13.5,34.681955,138.944544,1,[歯科]
2023-09-16,田原歯科医院,下田市五丁目１－４１,静岡県下田市五丁目1-41,,2023年01月09日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13501,個人,田原 廣江,田原　廣江,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,na,10.0,34.673122,138.938795,1,[歯科]
2023-09-16,土屋歯科医院,下田市東本郷１－５－２４,静岡県下田市東本郷一丁目5-24,,2022年12月26日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13504,個人,土屋 正彦,土屋　正彦,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 施設内における全面禁煙の実施, ]",na,na,na,2.0|2|－,-|-|-,-|-|-,1.0|1|－,25.0,34.67905,138.945449,1,[歯科]
2023-09-16,細川歯科医院,下田市東中１０－９,静岡県下田市東中10-9,,2023年01月28日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=51009,個人,初治 玲奈,初治　玲奈,"[歯科領域の一次診療, , ]","[顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場も含む）, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 薬局との連携, 居宅介護支援事業所との連携, ]",1.0|1|－,-|-|-,-|-|-,2.0|2|－,12.0,34.688701,138.945756,1,[歯科、小児歯科]
2023-09-16,渡辺歯科医院,下田市西本郷２－１３－８,静岡県下田市西本郷二丁目13-8,,2023年03月24日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13511,個人,渡辺 典,渡辺　典,na,na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,2.0|2|－,-|-|-,-|-|-,－|－|－,14.0,34.684844,138.942155,2,[歯科]
2023-09-16,雲野歯科クリニック,賀茂郡東伊豆町稲取７１５,静岡県賀茂郡東伊豆町稲取715,,2023年03月29日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13513,個人,雲野 峰雄,雲野　峰雄,na,na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,1.0|1|－,10.0,34.769725,139.041476,2,[歯科]
2023-09-16,医療法人社団　心成会　　かとう歯科医院,賀茂郡東伊豆町稲取３９９－４,静岡県賀茂郡東伊豆町稲取399-4,,2023年03月24日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13508,個人,加藤淳一,加藤淳一,"[歯科領域の一次診療, 唇顎口蓋裂の歯科矯正治療, 成人の歯科矯正治療, 顎変形症の歯科矯正治療, ]","[顎関節症治療, 顎変形症治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 聴覚障害者への配慮（施設内の情報の表示）, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[薬局との連携, ]",1.0|1|－,-|-|-,-|-|-,1.0|－|1.0,14.0,34.771169,139.041254,2,[歯科、矯正歯科、小児歯科]
2023-09-16,医療法人社団　川村歯科医院,賀茂郡東伊豆町奈良本２５０,静岡県賀茂郡東伊豆町奈良本250,,2023年01月15日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13518,医療法人,社団 川村歯科医院,川村光弘,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症又は外傷の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 居宅介護支援事業所との連携, 診療所との連携, ]",1.0|1|－,-|-|-,-|-|-,1.4|1|0.4,34.8,34.819415,139.061972,2,[歯科、小児歯科、矯正歯科]
2023-09-16,村松歯科医院,賀茂郡東伊豆町稲取２７８－９,静岡県賀茂郡東伊豆町稲取278-9,,2023年04月02日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13519,個人,村松敏行,村松　敏行,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,1.0|1|－,20.0,34.773725,139.039004,2,[歯科、小児歯科]
2023-09-16,森田歯科医院,賀茂郡東伊豆町片瀬５６４－１４,静岡県賀茂郡東伊豆町片瀬564-14,,2023年01月12日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13510,個人,森田 広,森田　広,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,1.0|1|－,-|-|-,-|-|-,1.0|1|－,25.5,34.804444,139.060612,2,[歯科]
2023-09-16,医療法人社団翼成会　石原歯科医院,賀茂郡河津町浜１８０－３,静岡県賀茂郡河津町浜180-3,,2022年12月22日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=51695,医療法人,社団 翼成会,石原　忍,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 聴覚障害者への配慮（施設内の情報の表示）, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, 医療に関する相談窓口の設置, ]",na,na,"[診療所との連携, ]",2.0|2|－,-|-|-,-|-|-,2.0|2|－,30.1,34.748027,138.998299,2,[歯科、小児歯科]
2023-09-16,庄内歯科クリニック,賀茂郡河津町浜１４６－４,静岡県賀茂郡河津町浜146-4,,2023年03月24日,http://www.qq.pref.shizuoka.jp/qq22/qqport/kenmintop/detail/fk1102.php?kinouid=fk9020&sisetuid=13517,個人,庄内 邦久,庄内　邦久,"[歯科領域の一次診療, 著しく歯科診療が困難な者, 成人の歯科矯正治療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場も含む）, 院内処方, 車椅子利用者への配慮（施設内のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 薬局との連携, ]",1.0|1|－,-|-|-,-|-|-,na,20.0,34.747171,138.995092,2,[歯科]
