timestamp,storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page,診療科
2023-09-17,アイデンタルオフィス,四日市市生桑町１１７,三重県四日市市生桑町117,,2023年07月20日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12238,個人,寺本 千賀子,寺本　千賀子,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 成人の歯科矯正治療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,34.988436,136.602669,1,[歯科、小児歯科、歯科口腔外科、矯正歯科]
2023-09-17,医療法人慈修会　あおば歯科,四日市市大宮西町１１－８,三重県四日市市大宮西町11-8,,2023年07月05日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12239,医療法人,慈修会,吉田　有里,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 診療所との連携, ]",1.0|1|－,-|-|-,-|-|-,－|－|－,36.3,34.992936,136.627444,1,[歯科、小児歯科、矯正歯科、歯科口腔外科]
2023-09-17,医療法人　ワールデント,四日市市あかつき台２丁目１－２０,三重県四日市市ｱｶﾂｷ台二丁目1-20,,2023年07月20日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12240,個人,高田 朋太郎,高田　朋太郎,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 成人の歯科矯正治療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応以外）, 訪問歯科衛生指導, 歯科訪問診療, 歯科疾患在宅療養管理, ]","[病院との連携, 居宅介護支援事業所との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,35.027099,136.601361,1,[歯科、小児歯科、矯正歯科、歯科口腔外科]
2023-09-17,阿倉川歯科医院,四日市市阿倉川町１２－３,三重県四日市市阿倉川町12-3,,2023年07月21日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=13030,個人,小泉 修,小泉　修,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,34.986738,136.625958,1,[歯科、小児歯科、歯科口腔外科]
2023-09-17,浅野歯科医院,四日市市赤堀１－３－３３,三重県四日市市赤堀一丁目3-33,,2023年07月20日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11614,個人,浅野 年嗣,浅野　年嗣,"[歯科領域の一次診療, , ]","[顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内の情報の表示, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, ]","[居宅介護支援事業所との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,34.960217,136.613225,1,[歯科]
2023-09-17,あしたば歯科医院,四日市市笹川３丁目３７－１,三重県四日市市笹川三丁目37-1,,2023年07月20日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12336,個人,鍋島 司,鍋島　司,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,na,na,－|－|－,-|-|-,-|-|-,na,na,34.951829,136.570451,1,[歯科]
2023-09-17,あせち歯科,四日市市昌栄町２番５号,三重県四日市市昌栄町2-5,,2023年04月10日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12366,個人,鵜飼 真弘,鵜飼　真弘,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, ]",na,1.0|1|－,-|-|-,-|-|-,na,na,34.957551,136.625918,1,[歯科]
2023-09-17,あだち歯科クリニック,四日市市ときわ５－４－３９,三重県四日市市ﾄｷﾜ五丁目4-39,,2023年03月30日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12241,個人,足立 司朗,足立　司朗,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,na,na,－|－|－,-|-|-,-|-|-,－|－|－,na,34.961884,136.598309,1,[歯科、小児歯科]
2023-09-17,東歯科医院,四日市市諏訪町３－１５,三重県四日市市諏訪町3-15,,2023年03月30日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11821,個人,東 孝俊,東　孝俊,"[歯科領域の一次診療, スポーツマウスガード治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,na,-|-|-,-|-|-,3.0|3|－,16.5,34.965689,136.62414,1,[歯科、小児歯科]
2023-09-17,飯田歯科,四日市市富田浜元町１番１８号,三重県四日市市富田浜元町1-18,,2023年08月03日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12902,個人,飯田 扇,飯田　扇,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, ]",1.0|1|－,-|-|-,-|-|-,1.3|1|0.3,12.5,35.000227,136.654112,1,[歯科、小児歯科]
2023-09-17,生桑いとう歯科医院,四日市市生桑町６５１－２,三重県四日市市生桑町651-2,,2022年10月06日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11826,個人,伊藤 裕継,伊藤　裕継,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, 診療所との連携, ]",－|－|－,-|-|-,-|-|-,na,na,34.982743,136.598197,1,[歯科]
2023-09-17,石塚いとう歯科,四日市市石塚町８－２,三重県四日市市石塚町8-2,,2023年07月20日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12242,医療法人,さざなみ,伊東　学,"[歯科領域の一次診療, スポーツマウスガード治療, がん患者医科歯科連携治療, , ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応以外）, 訪問歯科衛生指導, 歯科訪問診療, ]","[病院との連携, 診療所との連携, ]",1.5|1|0.5,-|-|-,-|-|-,3.5|3|0.5,na,34.961189,136.604253,1,[歯科、小児歯科、歯科口腔外科]
2023-09-17,市川歯科,四日市市山城町１１４９－１,三重県四日市市山城町1149-1,,2022年10月06日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11714,個人,市川 典彦,市川　典彦,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, 医療に関する相談員の配置, ]",na,"[往診（終日対応以外）, 歯科訪問診療, ]","[病院との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,35.035626,136.589362,1,[歯科、小児歯科]
2023-09-17,いちかわ歯科クリニック,四日市市中川原１丁目６２１－３,三重県四日市市中川原一丁目621-3,,2023年03月30日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12361,個人,市川 竜大,市川　竜大,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,na,na,－|－|－,-|-|-,-|-|-,－|－|－,na,34.968939,136.602086,1,[歯科、小児歯科]
2023-09-17,伊藤歯科医院,四日市市楠町小倉７６５－１,三重県四日市市楠町小倉765-1,,2023年07月25日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11812,個人,伊藤 雅之,伊藤　雅之,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, ]",－|－|－,-|-|-,-|-|-,na,na,34.922111,136.626086,1,[歯科、小児歯科、歯科口腔外科]
2023-09-17,イトウ歯科クリニック,四日市市富田一色町２－１０,三重県四日市市富田一色町2-10,,2023年07月21日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11808,個人,伊藤 武雄,伊藤　武雄,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, ]",na,"[歯科訪問診療, ]","[病院との連携, ]",1.0|1|－,-|-|-,-|-|-,na,18.0,35.005019,136.65933,1,[歯科、小児歯科]
2023-09-17,伊藤歯科診療所,四日市市中村町７６２－１,三重県四日市市中村町762-1,,2023年08月23日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12243,個人,伊藤 俊明,伊藤　俊明,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内点字ブロックの設置, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応以外）, ]","[病院との連携, 診療所との連携, ]",na,-|-|-,-|-|-,na,na,35.031321,136.604333,1,[歯科、小児歯科、矯正歯科]
2023-09-17,今村歯科クリニック,四日市市七つ屋町１９,三重県四日市市七ﾂ屋町19,,2023年07月21日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11841,個人,今村 芳義,今村　芳義,"[歯科領域の一次診療, 成人の歯科矯正治療, ]","[埋伏歯抜歯, 顎関節症治療, ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,"[歯科訪問診療, ]","[病院との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,34.936498,136.625086,1,[歯科、小児歯科、矯正歯科、歯科口腔外科]
2023-09-17,医療法人　岩崎歯科,四日市市西浦１－７－１５,三重県四日市市西浦一丁目7-15,,2023年03月30日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11784,個人,岩崎 恵,内藤　淳,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応することができるものに限る。）, 歯科訪問診療, ]",na,－|－|－,-|-|-,-|-|-,－|－|－,na,34.970689,136.617085,1,[歯科]
2023-09-17,うさぎ歯科,四日市市釆女が丘１－１６０,三重県四日市市釆女ｶﾞ丘一丁目160,,2023年07月21日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11843,個人,伊藤 誠,伊藤　誠,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 施設内における全面禁煙の実施, ]",na,na,na,－|－|－,-|-|-,-|-|-,－|－|－,na,34.917166,136.582396,1,[歯科]
2023-09-17,うすい歯科,四日市市浜田町１２－１６－２,三重県四日市市浜田町12-16-2,,2023年07月19日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=13075,個人,臼井 聡美,臼井　聡美,"[歯科領域の一次診療, 摂食機能障害の治療, 著しく歯科診療が困難な者の歯科治療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場を含む）, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 車椅子対応トイレ, 施設内における全面禁煙の実施, ]",na,"[往診（終日対応することができるものに限る。）, 歯科訪問診療, ]","[病院との連携, ]",2.0|2|－,-|-|-,-|-|-,na,na,34.964253,136.618523,2,[歯科、小児歯科、歯科口腔外科]
2023-09-17,内部歯科,四日市市釆女町１５６６－１,三重県四日市市釆女町1566-1,,2023年07月24日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11833,個人,岡本 智博,岡本　智博,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,na,－|－|－,-|-|-,-|-|-,－|－|－,na,34.925443,136.576229,2,[歯科、小児歯科]
2023-09-17,うねめ歯科,四日市市釆女町２０４２－２,三重県四日市市釆女町2042-2,,2023年07月24日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11811,個人,倉本 正,倉本　正,"[歯科領域の一次診療, , ]","[埋伏歯抜歯, , ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,na,－|－|－,-|-|-,-|-|-,na,na,34.920582,136.581007,2,[歯科]
2023-09-17,江尻歯科医院,四日市市西阿倉川１０－１,三重県四日市市大字西阿倉川10-1,,2023年07月19日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=11799,個人,江尻 竜一,江尻　竜一,"[歯科領域の一次診療, 著しく歯科診療が困難な者の歯科治療, 成人の歯科矯正治療, , ]","[埋伏歯抜歯, 口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療, 顎関節症治療, , ]",na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 車椅子利用者への配慮（施設のバリアフリー化の実施）, 施設内における全面禁煙の実施, ]",na,na,"[病院との連携, ]",－|－|－,-|-|-,-|-|-,－|－|－,na,34.988631,136.612695,2,[歯科]
2023-09-17,おいわけ歯科,四日市市前田町２３－１３,三重県四日市市前田町23-13,,2023年07月21日,https://www.qq.pref.mie.lg.jp/qq24/qqport/kenmintop/detail/fk1102.php?kinouid=fk9127&sisetuid=12855,個人,小川 浩志,小川　浩志,"[歯科領域の一次診療, , ]",na,na,na,"[駐車場がある（契約駐車場を含む）, 院内処方, 施設内における全面禁煙の実施, ]",na,na,na,na,-|-|-,-|-|-,na,na,34.935226,136.594453,2,[歯科、小児歯科]
